"Survey","Item.ID","Item.Type","Parent","NA","Question.ID","Question.Text","Question.Type","Conditional.Child.Item.ID","Conditional.Fail.Item.ID","Conditional.Threshold","Conditional.Type","Conditional.Master.Item.ID","QID","Question.Type.Display.Name","Result.Type","Multiple.Question.Type"
"Morning Survey ID 313","Item 5021","Block","Morning Survey ID 313",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Morning Survey ID 313","Item 5016","Question","Item 5021",NA,"Question 4739","The next few questions will ask about your sleep last night.",6,NA,NA,NA,NA,NA,"Q_4739","Informational Fullscreen",NA,FALSE
"Morning Survey ID 313","Item 5020","Question","Item 5021",NA,"Question 4740","What time did you wake up this morning?",1,NA,NA,NA,NA,NA,"Q_4740","Time Picker","integer",FALSE
"Morning Survey ID 313","Item 5019","Question","Item 5021",NA,"Question 4741","What time did you go to sleep last night?",1,NA,NA,NA,NA,NA,"Q_4741","Time Picker","integer",FALSE
"Morning Survey ID 313","Item 5018","Question","Item 5021",NA,"Question 5168","How refreshed did you feel when you woke up this morning?",3,NA,NA,NA,NA,NA,"Q_5168","Slider","numeric",FALSE
"Morning Survey ID 313","Item 5017","Question","Item 5021",NA,"Question 5169","How would you rate the quality of your sleep?",3,NA,NA,NA,NA,NA,"Q_5169","Slider","numeric",FALSE
"Morning Survey ID 313","Item 5047","Question","Item 5021",NA,"Question 5262","Did you fall overnight? A fall is defined as a slip or trip where you lost your balance and landed on the floor or ground or lower level.",0,"5048","5049","1","1",NA,"Q_5262","Multiple Choice","integer",FALSE
"Morning Survey ID 313","Item 5048","Block","Item 5021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Morning Survey ID 313","Item 5049","Question","Item 5021",NA,"Question 4832","End Block",21,NA,NA,NA,NA,"5047","Q_4832","End Block",NA,FALSE
"Morning Survey ID 313","Item 5045","Question","Item 5048",NA,"Question 4828","We would like you to report on the nature of the fall. If you have multiple incidents to report you can add more later.",6,NA,NA,NA,NA,NA,"Q_4828","Informational Fullscreen",NA,FALSE
"Morning Survey ID 313","Item 5043","Question","Item 5048",NA,"Question 4829","What time did the fall occur?",1,NA,NA,NA,NA,NA,"Q_4829","Time Picker","integer",FALSE
"Morning Survey ID 313","Item 5044","Question","Item 5048",NA,"Question 4830","Were you distracted or doing two things at once when you fell?",0,NA,NA,NA,NA,NA,"Q_4830","Multiple Choice","integer",FALSE
"Morning Survey ID 313","Item 7218","Question","Item 5048",NA,"Question 7586","Did your fall result in injury?",0,"7219","5046","1","1",NA,"Q_7586","Multiple Choice","integer",FALSE
"Morning Survey ID 313","Item 7219","Question","Item 5048",NA,"Question 7587","Please select the nature of the injury (select all that apply):",7,NA,NA,NA,NA,"7218","Q_7587","Multiple Select","integer",TRUE
"Morning Survey ID 313","Item 5046","Question","Item 5048",NA,"Question 4831","Do you have any other incidents to report?",0,NA,NA,NA,NA,"7218","Q_4831","Multiple Choice","integer",FALSE
"Morning Survey ID 313","Item 5013","Block","Morning Survey ID 313",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Morning Survey ID 313","Item 4985","Question","Item 5013",NA,"Question 4744","Where are you?",0,NA,NA,NA,NA,NA,"Q_4744","Multiple Choice","integer",FALSE
"Morning Survey ID 313","Item 4970","Question","Item 5013",NA,"Question 4718","These next few questions will ask you about how you feel <b>RIGHT NOW</b>.",6,NA,NA,NA,NA,NA,"Q_4718","Informational Fullscreen",NA,FALSE
"Morning Survey ID 313","Item 5011","Question","Item 5013",NA,"Question 5170","<b>RIGHT NOW</b>...<br>How much <b>PHYSICAL</b> fatigue do you have?",3,NA,NA,NA,NA,NA,"Q_5170","Slider","numeric",FALSE
"Morning Survey ID 313","Item 5010","Question","Item 5013",NA,"Question 5171","<b>RIGHT NOW</b>...<br>How much <b>MENTAL</b> fatigue do you have?",3,NA,NA,NA,NA,NA,"Q_5171","Slider","numeric",FALSE
"Morning Survey ID 313","Item 4974","Question","Item 5013",NA,"Question 5172","<b>RIGHT NOW</b>...<br>How much pain do you have?",3,NA,NA,NA,NA,NA,"Q_5172","Slider","numeric",FALSE
"Morning Survey ID 313","Item 4973","Question","Item 5013",NA,"Question 5173","<b>RIGHT NOW</b>...<br>How would you rate your ability to remember?",3,NA,NA,NA,NA,NA,"Q_5173","Slider","numeric",FALSE
"Morning Survey ID 313","Item 4972","Question","Item 5013",NA,"Question 5174","<b>RIGHT NOW</b>...<br>How foggy is your thinking?",3,NA,NA,NA,NA,NA,"Q_5174","Slider","numeric",FALSE
"Morning Survey ID 313","Item 4971","Question","Item 5013",NA,"Question 5175","<b>RIGHT NOW</b>...<br>How slow is your thinking?",3,NA,NA,NA,NA,NA,"Q_5175","Slider","numeric",FALSE
"Morning Survey ID 313","Item 4978","Question","Item 5013",NA,"Question 4726","<b>RIGHT NOW</b>, I feel sad.",0,NA,NA,NA,NA,NA,"Q_4726","Multiple Choice","integer",FALSE
"Morning Survey ID 313","Item 4979","Question","Item 5013",NA,"Question 4727","<b>RIGHT NOW</b>, I feel hopeless.",0,NA,NA,NA,NA,NA,"Q_4727","Multiple Choice","integer",FALSE
"Morning Survey ID 313","Item 4980","Question","Item 5013",NA,"Question 4728","<b>RIGHT NOW</b>, I feel discouraged.",0,NA,NA,NA,NA,NA,"Q_4728","Multiple Choice","integer",FALSE
"Morning Survey ID 313","Item 4977","Question","Item 5013",NA,"Question 5176","How would you rate your current amount of stress?",3,NA,NA,NA,NA,NA,"Q_5176","Slider","numeric",FALSE
"Morning Survey ID 313","Item 5028","Question","Item 5013",NA,"Question 4932","Since the last assessment, did you consume (check all that apply):",7,NA,NA,NA,NA,NA,"Q_4932","Multiple Select","integer",TRUE
"Morning Survey ID 313","Item 5069","Block","Morning Survey ID 313",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Morning Survey ID 313","Item 5068","Question","Item 5069",NA,"Question 4868","Thank you for answering your survey questions! Now it is time to play some brain games!",6,NA,NA,NA,NA,NA,"Q_4868","Informational Fullscreen",NA,FALSE
"Morning Survey ID 313","Item 5146","Question","Item 5069",NA,"Question 4960","Get ready for the next brain game. Tap the arrow button to continue.",27,NA,NA,NA,NA,NA,"Q_4960","Cognitive Test","other",FALSE
"Morning Survey ID 313","Item 5145","Question","Item 5069",NA,"Question 4961","Thank you for completing the brain games! Tap the arrow button to continue.",27,NA,NA,NA,NA,NA,"Q_4961","Cognitive Test","other",FALSE
"Morning Survey ID 313","Item 5012","Block","Morning Survey ID 313",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Morning Survey ID 313","Item 4986","Question","Item 5012",NA,"Question 4731","During the brain games, were you distracted by anything in your environment?",0,"5027","4988","2","1",NA,"Q_4731","Multiple Choice","integer",FALSE
"Morning Survey ID 313","Item 5027","Question","Item 5012",NA,"Question 4797","Please check all applicable distractions.",7,NA,NA,NA,NA,"4986","Q_4797","Multiple Select","integer",TRUE
"Morning Survey ID 313","Item 4988","Question","Item 5012",NA,"Question 4733","Thank you for completing your survey and brain games!",6,NA,NA,NA,NA,"4986","Q_4733","Informational Fullscreen",NA,FALSE
"Beeped Survey 1 ID 314","Item 5029","Block","Beeped Survey 1 ID 314",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Beeped Survey 1 ID 314","Item 4985","Question","Item 5029",NA,"Question 4745","Where are you?",0,NA,NA,NA,NA,NA,"Q_4745","Multiple Choice","integer",FALSE
"Beeped Survey 1 ID 314","Item 4970","Question","Item 5029",NA,"Question 4746","These next few questions will ask you about how you feel <b>RIGHT NOW</b>.",6,NA,NA,NA,NA,NA,"Q_4746","Informational Fullscreen",NA,FALSE
"Beeped Survey 1 ID 314","Item 5011","Question","Item 5029",NA,"Question 5177","<b>RIGHT NOW</b>...<br>How much <b>PHYSICAL</b> fatigue do you have?",3,NA,NA,NA,NA,NA,"Q_5177","Slider","numeric",FALSE
"Beeped Survey 1 ID 314","Item 5010","Question","Item 5029",NA,"Question 5178","<b>RIGHT NOW</b>...<br>How much <b>MENTAL</b> fatigue do you have?",3,NA,NA,NA,NA,NA,"Q_5178","Slider","numeric",FALSE
"Beeped Survey 1 ID 314","Item 4974","Question","Item 5029",NA,"Question 5179","<b>RIGHT NOW</b>...<br>How much pain do you have?",3,NA,NA,NA,NA,NA,"Q_5179","Slider","numeric",FALSE
"Beeped Survey 1 ID 314","Item 4973","Question","Item 5029",NA,"Question 5180","<b>RIGHT NOW</b>...<br>How would you rate your ability to remember?",3,NA,NA,NA,NA,NA,"Q_5180","Slider","numeric",FALSE
"Beeped Survey 1 ID 314","Item 4972","Question","Item 5029",NA,"Question 5181","<b>RIGHT NOW</b>...<br>How foggy is your thinking?",3,NA,NA,NA,NA,NA,"Q_5181","Slider","numeric",FALSE
"Beeped Survey 1 ID 314","Item 4971","Question","Item 5029",NA,"Question 5182","<b>RIGHT NOW</b>...<br>How slow is your thinking?",3,NA,NA,NA,NA,NA,"Q_5182","Slider","numeric",FALSE
"Beeped Survey 1 ID 314","Item 4978","Question","Item 5029",NA,"Question 4753","<b>RIGHT NOW</b>, I feel sad.",0,NA,NA,NA,NA,NA,"Q_4753","Multiple Choice","integer",FALSE
"Beeped Survey 1 ID 314","Item 4979","Question","Item 5029",NA,"Question 4754","<b>RIGHT NOW</b>, I feel hopeless.",0,NA,NA,NA,NA,NA,"Q_4754","Multiple Choice","integer",FALSE
"Beeped Survey 1 ID 314","Item 4980","Question","Item 5029",NA,"Question 4755","<b>RIGHT NOW</b>, I feel discouraged.",0,NA,NA,NA,NA,NA,"Q_4755","Multiple Choice","integer",FALSE
"Beeped Survey 1 ID 314","Item 4977","Question","Item 5029",NA,"Question 5183","How would you rate your current amount of stress?",3,NA,NA,NA,NA,NA,"Q_5183","Slider","numeric",FALSE
"Beeped Survey 1 ID 314","Item 5028","Question","Item 5029",NA,"Question 4935","Since the last assessment, did you consume (check all that apply):",7,NA,NA,NA,NA,NA,"Q_4935","Multiple Select","integer",TRUE
"Beeped Survey 1 ID 314","Item 5031","Block","Beeped Survey 1 ID 314",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Beeped Survey 1 ID 314","Item 5025","Question","Item 5031",NA,"Question 4758","These next set of questions refer to your time <b>SINCE YOUR LAST SURVEY</b>.",6,NA,NA,NA,NA,NA,"Q_4758","Informational Fullscreen",NA,FALSE
"Beeped Survey 1 ID 314","Item 5003","Question","Item 5031",NA,"Question 4759","<b>SINCE YOUR LAST SURVEY</b>, did you:<br><br>Take rest breaks during activities?",0,NA,NA,NA,NA,NA,"Q_4759","Multiple Choice","integer",FALSE
"Beeped Survey 1 ID 314","Item 5005","Question","Item 5031",NA,"Question 4760","<b>SINCE YOUR LAST SURVEY</b>, did you:<br><br>Break up activity into manageable pieces?",0,NA,NA,NA,NA,NA,"Q_4760","Multiple Choice","integer",FALSE
"Beeped Survey 1 ID 314","Item 5004","Question","Item 5031",NA,"Question 4761","<b>SINCE YOUR LAST SURVEY</b>, did you:<br><br>Go slower and spread out activity over time?",0,NA,NA,NA,NA,NA,"Q_4761","Multiple Choice","integer",FALSE
"Beeped Survey 1 ID 314","Item 5070","Block","Beeped Survey 1 ID 314",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Beeped Survey 1 ID 314","Item 5068","Question","Item 5070",NA,"Question 4865","Thank you for answering your survey questions! Now it is time to play some brain games!",6,NA,NA,NA,NA,NA,"Q_4865","Informational Fullscreen",NA,FALSE
"Beeped Survey 1 ID 314","Item 5146","Question","Item 5070",NA,"Question 4962","Get ready for the next brain game. Tap the arrow button to continue.",27,NA,NA,NA,NA,NA,"Q_4962","Cognitive Test","other",FALSE
"Beeped Survey 1 ID 314","Item 5145","Question","Item 5070",NA,"Question 4963","Thank you for completing the brain games! Tap the arrow button to continue.",27,NA,NA,NA,NA,NA,"Q_4963","Cognitive Test","other",FALSE
"Beeped Survey 1 ID 314","Item 5030","Block","Beeped Survey 1 ID 314",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Beeped Survey 1 ID 314","Item 4986","Question","Item 5030",NA,"Question 4762","During the brain games, were you distracted by anything in your environment?",0,"5027","4988","2","1",NA,"Q_4762","Multiple Choice","integer",FALSE
"Beeped Survey 1 ID 314","Item 5027","Question","Item 5030",NA,"Question 4766","Please check all applicable distractions.",7,NA,NA,NA,NA,"4986","Q_4766","Multiple Select","integer",TRUE
"Beeped Survey 1 ID 314","Item 4988","Question","Item 5030",NA,"Question 4764","Thank you for completing your survey and brain games!",6,NA,NA,NA,NA,"4986","Q_4764","Informational Fullscreen",NA,FALSE
"Evening Survey ID 315","Item 5032","Block","Evening Survey ID 315",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Evening Survey ID 315","Item 4985","Question","Item 5032",NA,"Question 4767","Where are you?",0,NA,NA,NA,NA,NA,"Q_4767","Multiple Choice","integer",FALSE
"Evening Survey ID 315","Item 4970","Question","Item 5032",NA,"Question 4768","These next few questions will ask you about how you feel <b>RIGHT NOW</b>.",6,NA,NA,NA,NA,NA,"Q_4768","Informational Fullscreen",NA,FALSE
"Evening Survey ID 315","Item 5011","Question","Item 5032",NA,"Question 5184","<b>RIGHT NOW</b>...<br>How much <b>PHYSICAL</b> fatigue do you have?",3,NA,NA,NA,NA,NA,"Q_5184","Slider","numeric",FALSE
"Evening Survey ID 315","Item 5010","Question","Item 5032",NA,"Question 5185","<b>RIGHT NOW</b>...<br>How much <b>MENTAL</b> fatigue do you have?",3,NA,NA,NA,NA,NA,"Q_5185","Slider","numeric",FALSE
"Evening Survey ID 315","Item 4974","Question","Item 5032",NA,"Question 5186","<b>RIGHT NOW</b>...<br>How much pain do you have?",3,NA,NA,NA,NA,NA,"Q_5186","Slider","numeric",FALSE
"Evening Survey ID 315","Item 4973","Question","Item 5032",NA,"Question 5187","<b>RIGHT NOW</b>...<br>How would you rate your ability to remember?",3,NA,NA,NA,NA,NA,"Q_5187","Slider","numeric",FALSE
"Evening Survey ID 315","Item 4972","Question","Item 5032",NA,"Question 5188","<b>RIGHT NOW</b>...<br>How foggy is your thinking?",3,NA,NA,NA,NA,NA,"Q_5188","Slider","numeric",FALSE
"Evening Survey ID 315","Item 4971","Question","Item 5032",NA,"Question 5189","<b>RIGHT NOW</b>...<br>How slow is your thinking?",3,NA,NA,NA,NA,NA,"Q_5189","Slider","numeric",FALSE
