"Survey.Name","Group","Survey.ID","Question.ID","Survey","Item.ID","Item.Type","Parent","NA","Question.Text","Question.Type","Conditional.Child.Item.ID","Conditional.Fail.Item.ID","Conditional.Threshold","Conditional.Type","Conditional.Master.Item.ID","QID","Question.Type.Display.Name","Result.Type","Multiple.Question.Type"
"One Question Survey","1036","301","Question ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Morning Survey","","3131","Question 4731","Morning Survey ID 313","Item 4986","Question","Item 5012",NA,"During the brain games, were you distracted by anything in your environment?",0,"5027","4988","2","1",NA,"Q_4731","Multiple Choice","integer",FALSE
"Morning Survey","","3132","Question 4797","Morning Survey ID 313","Item 5027","Question","Item 5012",NA,"Please check all applicable distractions.",7,NA,NA,NA,NA,"4986","Q_4797","Multiple Select","integer",TRUE
"Morning Survey","","3133","Question 4733","Morning Survey ID 313","Item 4988","Question","Item 5012",NA,"Thank you for completing your survey and brain games!",6,NA,NA,NA,NA,"4986","Q_4733","Informational Fullscreen",NA,FALSE
"Morning Survey","","3134","Question 4744","Morning Survey ID 313","Item 4985","Question","Item 5013",NA,"Where are you?",0,NA,NA,NA,NA,NA,"Q_4744","Multiple Choice","integer",FALSE
"Morning Survey","","3135","Question 4718","Morning Survey ID 313","Item 4970","Question","Item 5013",NA,"These next few questions will ask you about how you feel <b>RIGHT NOW</b>.",6,NA,NA,NA,NA,NA,"Q_4718","Informational Fullscreen",NA,FALSE
"Morning Survey","","3136","Question 5170","Morning Survey ID 313","Item 5011","Question","Item 5013",NA,"<b>RIGHT NOW</b>...<br>How much <b>PHYSICAL</b> fatigue do you have?",3,NA,NA,NA,NA,NA,"Q_5170","Slider","numeric",FALSE
"Morning Survey","","3137","Question 5171","Morning Survey ID 313","Item 5010","Question","Item 5013",NA,"<b>RIGHT NOW</b>...<br>How much <b>MENTAL</b> fatigue do you have?",3,NA,NA,NA,NA,NA,"Q_5171","Slider","numeric",FALSE
"Morning Survey","","3138","Question 5172","Morning Survey ID 313","Item 4974","Question","Item 5013",NA,"<b>RIGHT NOW</b>...<br>How much pain do you have?",3,NA,NA,NA,NA,NA,"Q_5172","Slider","numeric",FALSE
"Morning Survey","","3139","Question 5173","Morning Survey ID 313","Item 4973","Question","Item 5013",NA,"<b>RIGHT NOW</b>...<br>How would you rate your ability to remember?",3,NA,NA,NA,NA,NA,"Q_5173","Slider","numeric",FALSE
