"Survey.LongName","Group","Survey.QID","Question.ID","Survey","Item.ID","Item.Type","Parent","Question.Text","Question.Type","NA","Conditional.Child.Item.ID","Conditional.Fail.Item.ID","Conditional.Threshold","Conditional.Type","Conditional.Master.Item.ID","QID","Question.Type.Display.Name","Result.Type","Multiple.Question.Type"
"One Question Survey","2027","8","Question ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Intake Survey","","91","Question 88","Intake Survey ID 9","Item 41","Question","Intake Survey ID 9","Do you get home from work at a regular time?",0,NA,NA,NA,NA,NA,NA,"Q_88","Multiple Choice","integer",FALSE
"Intake Survey","","92","Question 87","Intake Survey ID 9","Item 43","Question","Intake Survey ID 9","What time do you usually get up from sleeping?",1,NA,NA,NA,NA,NA,NA,"Q_87","Time Picker","integer",FALSE
"Intake Survey","","93","Question 101","Intake Survey ID 9","Item 111","Question","Item 112","What time do you normally get home from work?",1,NA,NA,NA,NA,NA,NA,"Q_101","Time Picker","integer",FALSE
"Intake Survey","","94","Question 102","Intake Survey ID 9","Item 109","Question","Item 112","What time do you usually go to bed for the day?",1,NA,NA,NA,NA,NA,NA,"Q_102","Time Picker","integer",FALSE
"Intake Survey","","95","Question 91","Intake Survey ID 9","Item 110","Question","Item 113","What time do you usually go to bed for the day?",1,NA,NA,NA,NA,NA,NA,"Q_91","Time Picker","integer",FALSE
"Daily Survey 1","","101","Question 6","Daily Survey 1 ID 10","Item 45","Question","Daily Survey 1 ID 10","Thank you for participating in our study. These questions ask about your day since  waking.",6,NA,NA,NA,NA,NA,NA,"Q_6","Informational Fullscreen",NA,FALSE
"Daily Survey 1","","102","Question 7","Daily Survey 1 ID 10","Item 46","Question","Daily Survey 1 ID 10","So far today:",6,NA,NA,NA,NA,NA,NA,"Q_7","Informational Fullscreen",NA,FALSE
"Daily Survey 1","","103","Question 127","Daily Survey 1 ID 10","Item 56","Question","Daily Survey 1 ID 10","So far today, to what extent have you felt:",17,NA,NA,NA,NA,NA,NA,"Q_127","Multiple Slider",NA,TRUE
"Daily Survey 1","","104","Question 128","Daily Survey 1 ID 10","Item 57","Question","Daily Survey 1 ID 10","So far today, to what extent have you felt:",17,NA,NA,NA,NA,NA,NA,"Q_128","Multiple Slider",NA,TRUE
