"Survey","Block","Sub.block","Item.ID","Question.ID","Question.Text","Question.Type","Conditional.Child.Item.ID","Conditional.Fail.Item.ID","Conditional.Threshold","Conditional.Type","Conditional.Master.Item.ID","Question.Type.Display.Name","Result.Type","Multiple.Question.Type"
"Daily Diary ID 365","","","Item 5734","Question 5976","What did you do today?",7,"5792","5735","12","1",NA,"Multiple Select","integer",TRUE
"Daily Diary ID 365","","","Item 5792","Question 6039","Please write in other activity:",11,NA,NA,NA,NA,"5734","Free Response","character",FALSE
"Daily Diary ID 365","","","Item 5735","Question 6021","How difficult was it to get where you needed to go today?",0,NA,NA,NA,NA,"5734","Multiple Choice","integer",FALSE
"Daily Diary ID 365","","","Item 5736","Question 5978","Where did you spend time today?",7,NA,NA,NA,NA,NA,"Multiple Select","integer",TRUE
"Item 5745","","","Item 5737","Question 5979","How much time did you spend at the RCC today?",0,NA,NA,NA,NA,NA,"Multiple Choice","integer",FALSE
"Item 5745","","","Item 5738","Question 6022","Select all the activities taken part in or services used at the RCC today. Which of the following activities / services did you take part in at your RCC today? <u>Please check all that apply:</u>",7,"5739","5740","10","1",NA,"Multiple Select","integer",TRUE
"Item 5745","","","Item 5739","Question 5981","Please write in other activity:",11,NA,NA,NA,NA,"5738","Free Response","character",FALSE
"Item 5745","","","Item 5740","Question 5982","When thinking about your time at the RCC today...",17,NA,NA,NA,NA,"5738","Multiple Slider",NA,TRUE
"Item 5745","","","Item 5741","Question 6023","When thinking about your time at the RCC today...",17,NA,NA,NA,NA,NA,"Multiple Slider",NA,TRUE
"Item 5746","","","Item 5742","Question 6074","While NOT AT YOUR RCC, which of the following activities /services did you take part in?",7,"5743","5798","10","1",NA,"Multiple Select","integer",TRUE
"Item 5746","","","Item 5743","Question 5985","Please write in other activity:",11,NA,NA,NA,NA,"5742","Free Response","character",FALSE
"Item 5746","","","Item 5798","Question 6075","When thinking about your full day...",17,NA,NA,NA,NA,"5742","Multiple Slider",NA,TRUE
"Daily Diary ID 365","","","Item 5748","Question 5987","Please check off any recovery support meetings you attended today?",7,"5756","5757","2","3",NA,"Multiple Select","integer",TRUE
"Item 5756","","","Item 5784","Question 6024","Where did you attend the meeting (or meetings)?",7,"5785","5750","7","1",NA,"Multiple Select","integer",TRUE
"Item 5756","","","Item 5785","Question 6025","Please write in other location:",11,NA,NA,NA,NA,"5784","Free Response","character",FALSE
