"Survey.LongName","Group","Survey.QID","Question.ID","Survey","Item.ID","Item.Type","Parent","Question.Text","Question.Type","Conditional.Child.Item.ID","Conditional.Fail.Item.ID","Conditional.Threshold","Conditional.Type","Conditional.Master.Item.ID","NA","QID","Question.Type.Display.Name","Result.Type","Multiple.Question.Type"
"One Question Survey","1045","364","Question ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daily Diary","","3651","Question 5976","Daily Diary ID 365","Item 5734","Question","Daily Diary ID 365","What did you do today?",7,"5792","5735","12","1",NA,NA,"Q_5976","Multiple Select","integer",TRUE
"Daily Diary","","3652","Question 6021","Daily Diary ID 365","Item 5735","Question","Daily Diary ID 365","How difficult was it to get where you needed to go today?",0,NA,NA,NA,NA,"5734",NA,"Q_6021","Multiple Choice","integer",FALSE
"Daily Diary","","3653","Question 5978","Daily Diary ID 365","Item 5736","Question","Daily Diary ID 365","Where did you spend time today?",7,NA,NA,NA,NA,NA,NA,"Q_5978","Multiple Select","integer",TRUE
"Daily Diary","","3654","Question 5979","Daily Diary ID 365","Item 5737","Question","Item 5745","How much time did you spend at the RCC today?",0,NA,NA,NA,NA,NA,NA,"Q_5979","Multiple Choice","integer",FALSE
"Daily Diary","","3655","Question 6022","Daily Diary ID 365","Item 5738","Question","Item 5745","Select all the activities taken part in or services used at the RCC today. Which of the following activities / services did you take part in at your RCC today? <u>Please check all that apply:</u>",7,"5739","5740","10","1",NA,NA,"Q_6022","Multiple Select","integer",TRUE
"Daily Diary","","3656","Question 5981","Daily Diary ID 365","Item 5739","Question","Item 5745","Please write in other activity:",11,NA,NA,NA,NA,"5738",NA,"Q_5981","Free Response","character",FALSE
"Daily Diary","","3657","Question 5982","Daily Diary ID 365","Item 5740","Question","Item 5745","When thinking about your time at the RCC today...",17,NA,NA,NA,NA,"5738",NA,"Q_5982","Multiple Slider",NA,TRUE
"Daily Diary","","3658","Question 6023","Daily Diary ID 365","Item 5741","Question","Item 5745","When thinking about your time at the RCC today...",17,NA,NA,NA,NA,NA,NA,"Q_6023","Multiple Slider",NA,TRUE
"Daily Diary","","3659","Question 6074","Daily Diary ID 365","Item 5742","Question","Item 5746","While NOT AT YOUR RCC, which of the following activities /services did you take part in?",7,"5743","5798","10","1",NA,NA,"Q_6074","Multiple Select","integer",TRUE
"Daily Diary","","36510","Question 5985","Daily Diary ID 365","Item 5743","Question","Item 5746","Please write in other activity:",11,NA,NA,NA,NA,"5742",NA,"Q_5985","Free Response","character",FALSE
"Daily Diary","","36511","Question 6075","Daily Diary ID 365","Item 5798","Question","Item 5746","When thinking about your full day...",17,NA,NA,NA,NA,"5742",NA,"Q_6075","Multiple Slider",NA,TRUE
"Daily Diary","","36512","Question 5987","Daily Diary ID 365","Item 5748","Question","Daily Diary ID 365","Please check off any recovery support meetings you attended today?",7,"5756","5757","2","3",NA,NA,"Q_5987","Multiple Select","integer",TRUE
"Daily Diary","","36513","Question 6024","Daily Diary ID 365","Item 5784","Question","Item 5756","Where did you attend the meeting (or meetings)?",7,"5785","5750","7","1",NA,NA,"Q_6024","Multiple Select","integer",TRUE
"Daily Diary","","36514","Question 6025","Daily Diary ID 365","Item 5785","Question","Item 5756","Please write in other location:",11,NA,NA,NA,NA,"5784",NA,"Q_6025","Free Response","character",FALSE
"Daily Diary","","36515","Question 6076","Daily Diary ID 365","Item 5750","Question","Item 5756","How useful was the meeting(s) for you?",3,NA,NA,NA,NA,"5784",NA,"Q_6076","Slider","numeric",FALSE
"Daily Diary","","36516","Question 6077","Daily Diary ID 365","Item 5751","Question","Item 5756","How supportive did you find the meeting(s)?",3,NA,NA,NA,NA,NA,NA,"Q_6077","Slider","numeric",FALSE
"Daily Diary","","36517","Question 6078","Daily Diary ID 365","Item 5752","Question","Item 5756","How connected did you feel to others at the meeting(s)?",3,NA,NA,NA,NA,NA,NA,"Q_6078","Slider","numeric",FALSE
"Daily Diary","","36518","Question 6079","Daily Diary ID 365","Item 5753","Question","Item 5756","How engaged were you during the meeting(s)?",3,NA,NA,NA,NA,NA,NA,"Q_6079","Slider","numeric",FALSE
"Daily Diary","","36519","Question 6080","Daily Diary ID 365","Item 5754","Question","Item 5756","How much did you talk during the meeting(s)?",3,NA,NA,NA,NA,NA,NA,"Q_6080","Slider","numeric",FALSE
"Daily Diary","","36520","Question 6081","Daily Diary ID 365","Item 5755","Question","Item 5756","How comfortable were you during the meeting(s)?",3,NA,NA,NA,NA,NA,NA,"Q_6081","Slider","numeric",FALSE
"Daily Diary","","36521","Question 5995","Daily Diary ID 365","Item 5757","Question","Daily Diary ID 365","Did you work for pay today?",0,NA,NA,NA,NA,"5748",NA,"Q_5995","Multiple Choice","integer",FALSE
"Daily Diary","","36522","Question 5996","Daily Diary ID 365","Item 5762","Question","Item 5763","Why did you not go to work?",0,"5794","5793","6","1",NA,NA,"Q_5996","Multiple Choice","integer",FALSE
"Daily Diary","","36523","Question 6040","Daily Diary ID 365","Item 5794","Question","Item 5763","Please specify:",11,NA,NA,NA,NA,"5762",NA,"Q_6040","Free Response","character",FALSE
"Daily Diary","","36524","Question 6041","Daily Diary ID 365","Item 5793","Question","Item 5763","End Block",21,NA,NA,NA,NA,"5762",NA,"Q_6041","End Block",NA,FALSE
"Daily Diary","","36525","Question 5997","Daily Diary ID 365","Item 5764","Question","Daily Diary ID 365","The following questions ask about how you have felt this evening",6,NA,NA,NA,NA,NA,NA,"Q_5997","Informational Fullscreen",NA,FALSE
"Daily Diary","","36526","Question 5998","Daily Diary ID 365","Item 5765","Question","Daily Diary ID 365","THIS EVENING...",6,NA,NA,NA,NA,NA,NA,"Q_5998","Informational Fullscreen",NA,FALSE
"Daily Diary","","36527","Question 5999","Daily Diary ID 365","Item 5766","Question","Daily Diary ID 365","How FREQUENT have your alcohol or drug cravings been?",3,NA,NA,NA,NA,NA,NA,"Q_5999","Slider","numeric",FALSE
"Daily Diary","","36528","Question 6000","Daily Diary ID 365","Item 5767","Question","Daily Diary ID 365","How INTENSE have your alcohol or drug cravings been?",3,NA,NA,NA,NA,NA,NA,"Q_6000","Slider","numeric",FALSE
"Daily Diary","","36529","Question 6001","Daily Diary ID 365","Item 5769","Question","Daily Diary ID 365","THIS EVENING, have you felt...",17,NA,NA,NA,NA,NA,NA,"Q_6001","Multiple Slider",NA,TRUE
"Daily Diary","","36530","Question 6002","Daily Diary ID 365","Item 5770","Question","Daily Diary ID 365","Please think of your experiences throughout THE ENTIRE DAY",6,NA,NA,NA,NA,NA,NA,"Q_6002","Informational Fullscreen",NA,FALSE
"Daily Diary","","36531","Question 6003","Daily Diary ID 365","Item 5771","Question","Daily Diary ID 365","My day has been...",17,NA,NA,NA,NA,NA,NA,"Q_6003","Multiple Slider",NA,TRUE
"Daily Diary","","36532","Question 6004","Daily Diary ID 365","Item 5772","Question","Daily Diary ID 365","Thinking about today, I feel like I...",17,NA,NA,NA,NA,NA,NA,"Q_6004","Multiple Slider",NA,TRUE
"Daily Diary","","36533","Question 6031","Daily Diary ID 365","Item 5773","Question","Daily Diary ID 365","THINKING ABOUT TODAY, I feel like",17,NA,NA,NA,NA,NA,NA,"Q_6031","Multiple Slider",NA,TRUE
"Daily Diary","","36534","Question 6006","Daily Diary ID 365","Item 5774","Question","Daily Diary ID 365","The following questions ask you to reflect on how you felt about your relationship with your family for THE ENTIRE DAY.",6,NA,NA,NA,NA,NA,NA,"Q_6006","Informational Fullscreen",NA,FALSE
"Daily Diary","","36535","Question 6007","Daily Diary ID 365","Item 5775","Question","Daily Diary ID 365","I felt...",17,NA,NA,NA,NA,NA,NA,"Q_6007","Multiple Slider",NA,TRUE
"Daily Diary","","36536","Question 6008","Daily Diary ID 365","Item 5776","Question","Daily Diary ID 365","My family showed...",17,NA,NA,NA,NA,NA,NA,"Q_6008","Multiple Slider",NA,TRUE
"Daily Diary","","36537","Question 6009","Daily Diary ID 365","Item 5777","Question","Daily Diary ID 365","Other people in recovery showed...",17,NA,NA,NA,NA,NA,NA,"Q_6009","Multiple Slider",NA,TRUE
"Daily Diary","","36538","Question 6010","Daily Diary ID 365","Item 5778","Question","Daily Diary ID 365","When thinking about tomorrow...",6,NA,NA,NA,NA,NA,NA,"Q_6010","Informational Fullscreen",NA,FALSE
"Daily Diary","","36539","Question 6011","Daily Diary ID 365","Item 5779","Question","Daily Diary ID 365","I think tomorrow will be...",17,NA,NA,NA,NA,NA,NA,"Q_6011","Multiple Slider",NA,TRUE
"Daily Diary","","36540","Question 6012","Daily Diary ID 365","Item 5780","Question","Daily Diary ID 365","I'm worried about my ability to...",17,NA,NA,NA,NA,NA,NA,"Q_6012","Multiple Slider",NA,TRUE
"Daily Diary","","36541","Question 6027","Daily Diary ID 365","Item 5758","Question","Item 5786","I ENJOYED work",3,NA,NA,NA,NA,NA,NA,"Q_6027","Slider","numeric",FALSE
"Daily Diary","","36542","Question 6028","Daily Diary ID 365","Item 5759","Question","Item 5786","I felt COMPETENT at work",3,NA,NA,NA,NA,NA,NA,"Q_6028","Slider","numeric",FALSE
"Daily Diary","","36543","Question 6029","Daily Diary ID 365","Item 5760","Question","Item 5786","I felt a sense of ACCOMPLISHMENT at work",3,NA,NA,NA,NA,NA,NA,"Q_6029","Slider","numeric",FALSE
"Daily Diary","","36544","Question 6030","Daily Diary ID 365","Item 5761","Question","Item 5786","I felt CONNECTED to my work or with other people at work",3,NA,NA,NA,NA,NA,NA,"Q_6030","Slider","numeric",FALSE
"Daily Diary","","36545","Question 6032","Daily Diary ID 365","Item 5787","Question","Daily Diary ID 365","Describe what was challenging and / or good about your day and how you feel about it (about recovery or not):",11,NA,NA,NA,NA,NA,NA,"Q_6032","Free Response","character",FALSE
"Daily Diary","","36546","Question 6039","Daily Diary ID 365","Item 5792","Question","Daily Diary ID 365","Please write in other activity:",11,NA,NA,NA,NA,"5734",NA,"Q_6039","Free Response","character",FALSE
"RCC Practice Daily Diary Items","","3881","Question 6161","RCC Practice Daily Diary Items ID 388","Item 6019","Question","RCC Practice Daily Diary Items ID 388","The following questions ask about your experiences DURING THE DAY",6,NA,NA,NA,NA,NA,NA,"Q_6161","Informational Fullscreen",NA,FALSE
"RCC Practice Daily Diary Items","","3882","Question 6162","RCC Practice Daily Diary Items ID 388","Item 6020","Question","RCC Practice Daily Diary Items ID 388","Please check off any recovery support meetings you attended today?",7,"6026","6025","2","3",NA,NA,"Q_6162","Multiple Select","integer",TRUE
"RCC Practice Daily Diary Items","","3883","Question 6166","RCC Practice Daily Diary Items ID 388","Item 6023","Question","RCC Practice Daily Diary Items ID 388","How FREQUENT have your alcohol or drug cravings been?",3,NA,NA,NA,NA,NA,NA,"Q_6166","Slider","numeric",FALSE
"RCC Practice Daily Diary Items","","3884","Question 6167","RCC Practice Daily Diary Items ID 388","Item 6024","Question","RCC Practice Daily Diary Items ID 388","How INTENSE have your alcohol or drug cravings been?",3,NA,NA,NA,NA,NA,NA,"Q_6167","Slider","numeric",FALSE
