"Survey.LongName","Group","Survey.QID","Question.ID","Survey","Item.ID","Item.Type","Parent","NA.","Question.Text","Question.Type","Conditional.Child.Item.ID","Conditional.Fail.Item.ID","Conditional.Threshold","Conditional.Type","Conditional.Master.Item.ID","QID","Question.Type.Display.Name","Result.Type","Multiple.Question.Type"
"Daily Diary",1057,469,"Question ","Daily Diary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daily Diary",NA,4701,"Question 8176","Daily Diary","Item 7605","Question","Item 7677",NA,"Did you receive support or help today? <br /> SELECT ALL THAT APPLY: <br /> (Scroll down for all responses)",7,7606,7607,6,2,NA,"Q_8176","Multiple Select","integer",TRUE
"Daily Diary",NA,4702,"Question 8066","Daily Diary","Item 7606","Question","Item 7677",NA,"Whom did you receive this practical support from today? <b>SELECT ALL THAT APPLY</b> (Scroll down for all responses)",7,NA,NA,NA,NA,7605,"Q_8066","Multiple Select","integer",TRUE
"Daily Diary",NA,4703,"Question 8177","Daily Diary","Item 7607","Question","Item 7677",NA,"Did you receive emotional or interpersonal assistance, support, or help today in any of the following areas? <br /> SELECT  ALL THAT APPLY <br /> (Scroll down for all responses)",7,7608,7609,5,2,7605,"Q_8177","Multiple Select","integer",TRUE
"Daily Diary",NA,4704,"Question 8178","Daily Diary","Item 7608","Question","Item 7677",NA,"Whom did you receive this support from today? <br /> SELECT ALL THAT APPLY <br /> (Scroll down for all responses)",7,NA,NA,NA,NA,7607,"Q_8178","Multiple Select","integer",TRUE
"Daily Diary",NA,4705,"Question 8069","Daily Diary","Item 7609","Question","Item 7677",NA,"How much time did you spend at a recovery community center (RCC) today? (Scroll down for all responses)",0,7615,7616,2,3,7607,"Q_8069","Multiple Choice","integer",FALSE
"Daily Diary",NA,4706,"Question 8070","Daily Diary","Item 7610","Question","Item 7615",NA,"While AT a Recovery Center, which of the following activities/services did you take part in? <u>Please check all that apply</u> <br /> (Scroll down for all responses)",7,NA,NA,NA,NA,NA,"Q_8070","Multiple Select","integer",TRUE
"Daily Diary",NA,4707,"Question 8179","Daily Diary","Item 7679","Question","Item 7615",NA,"Please specify activity:",11,NA,NA,NA,NA,NA,"Q_8179","Free Response","character",FALSE
"Daily Diary",NA,4708,"Question 8071","Daily Diary","Item 7611","Question","Item 7613",NA,"Which recovery support meetings did you attend today? Check all that apply. <br /> (Scroll down for all responses)",7,NA,NA,NA,NA,NA,"Q_8071","Multiple Select","integer",TRUE
"Daily Diary",NA,4709,"Question 8072","Daily Diary","Item 7621","Question","Item 7615",NA,"When thinking about your time at the Recovery Center today...",6,NA,NA,NA,NA,NA,"Q_8072","Informational Fullscreen",NA,FALSE
"Daily Diary",NA,47010,"Question 8073","Daily Diary","Item 7612","Question","Item 7615",NA,"How helpful was being at the Recovery Center to your recovery?",3,NA,NA,NA,NA,NA,"Q_8073","Slider","numeric",FALSE
"Daily Diary",NA,47011,"Question 8074","Daily Diary","Item 7614","Question","Item 7615",NA,"How helpful was being at the Recovery Center to your overall well-being?",3,NA,NA,NA,NA,NA,"Q_8074","Slider","numeric",FALSE
"Daily Diary",NA,47012,"Question 8075","Daily Diary","Item 7616","Question","Item 7677",NA,"Do you reside in a recovery house?",0,7636,7635,1,1,7609,"Q_8075","Multiple Choice","integer",FALSE
"Daily Diary",NA,47013,"Question 8076","Daily Diary","Item 7617","Question","Item 7636",NA,"How much time did you spend at a recovery house today (NOT counting sleeping time)?<br /><br />(Scroll down for all responses)",0,7637,7638,2,3,NA,"Q_8076","Multiple Choice","integer",FALSE
"Daily Diary",NA,47014,"Question 8077","Daily Diary","Item 7618","Question","Item 7637",NA,"While AT YOUR RECOVERY HOUSE, which of the following activities/services did you take part in? <u>Please check all that apply</u> <br /> (Scroll down for all responses)",7,NA,NA,NA,NA,NA,"Q_8077","Multiple Select","integer",TRUE
"Daily Diary",NA,47015,"Question 8078","Daily Diary","Item 7619","Question","Item 7637",NA,"Please specify activity:",11,NA,NA,NA,NA,NA,"Q_8078","Free Response","character",FALSE
"Daily Diary",NA,47016,"Question 8079","Daily Diary","Item 7620","Question","Item 7637",NA,"Please check off any recovery support meetings you attended today? Select all that apply <br /> (Scroll down for all responses)",7,NA,NA,NA,NA,NA,"Q_8079","Multiple Select","integer",TRUE
"Daily Diary",NA,47017,"Question 8080","Daily Diary","Item 7622","Question","Item 7637",NA,"When thinking about your time at the recovery house today...",6,NA,NA,NA,NA,NA,"Q_8080","Informational Fullscreen",NA,FALSE
"Daily Diary",NA,47018,"Question 8081","Daily Diary","Item 7623","Question","Item 7637",NA,"How helpful was being at the recovery house to your recovery?",3,NA,NA,NA,NA,NA,"Q_8081","Slider","numeric",FALSE
"Daily Diary",NA,47019,"Question 8082","Daily Diary","Item 7624","Question","Item 7637",NA,"How helpful was being at the recovery house to your overall well-being?",3,NA,NA,NA,NA,NA,"Q_8082","Slider","numeric",FALSE
"Daily Diary",NA,47020,"Question 8083","Daily Diary","Item 7638","Question","Item 7636",NA,"End Block",21,NA,NA,NA,NA,7617,"Q_8083","End Block",NA,FALSE
"Daily Diary",NA,47021,"Question 8084","Daily Diary","Item 7625","Question","Item 7635",NA,"While NOT AT A RCC OR RECOVERY HOUSE, which of the following activities/services did you take part in?  <u>Please check all that apply</u> <br /> (Scroll down for all responses)",7,NA,NA,NA,NA,NA,"Q_8084","Multiple Select","integer",TRUE
"Daily Diary",NA,47022,"Question 8085","Daily Diary","Item 7626","Question","Item 7635",NA,"Please specify activity:",11,NA,NA,NA,NA,NA,"Q_8085","Free Response","character",FALSE
"Daily Diary",NA,47023,"Question 8180","Daily Diary","Item 7628","Question","Item 7630",NA,"Please check off any recovery support meetings you attended today while NOT AT A RCC OR RECOVERY HOUSE? Select all that apply. <br /> (Scroll down for all responses)",7,NA,NA,NA,NA,NA,"Q_8180","Multiple Select","integer",TRUE
"Daily Diary",NA,47024,"Question 8087","Daily Diary","Item 7629","Question","Item 7630",NA,"Where did you attend the meeting or meetings? Select all that apply <br /> (Scroll down for all responses)",7,NA,NA,NA,NA,NA,"Q_8087","Multiple Select","integer",TRUE
"Daily Diary",NA,47025,"Question 8088","Daily Diary","Item 7631","Question","Item 7635",NA,"When thinking about your full day...",6,NA,NA,NA,NA,NA,"Q_8088","Informational Fullscreen",NA,FALSE
"Daily Diary",NA,47026,"Question 8089","Daily Diary","Item 7632","Question","Item 7635",NA,"How helpful were your day’s experiences to your recovery?",3,NA,NA,NA,NA,NA,"Q_8089","Slider","numeric",FALSE
"Daily Diary",NA,47027,"Question 8090","Daily Diary","Item 7633","Question","Item 7635",NA,"How helpful were your day’s experiences to your overall well-being?",3,NA,NA,NA,NA,NA,"Q_8090","Slider","numeric",FALSE
"Daily Diary",NA,47028,"Question 8181","Daily Diary","Item 7639","Question","Item 7635",NA,"If you did not go to a recovery support meeting today, what was the reason? Check off all that apply. <br /> (Scroll down for all responses)",7,NA,NA,NA,NA,NA,"Q_8181","Multiple Select","integer",TRUE
"Daily Diary",NA,47029,"Question 8092","Daily Diary","Item 7640","Question","Item 7635",NA,"How difficult was it to get where you needed to go today?",0,NA,NA,NA,NA,NA,"Q_8092","Multiple Choice","integer",FALSE
"Daily Diary",NA,47030,"Question 8093","Daily Diary","Item 7641","Question","Item 7635",NA,"Did you work for pay today?",0,NA,NA,NA,NA,NA,"Q_8093","Multiple Choice","integer",FALSE
"Daily Diary",NA,47031,"Question 8094","Daily Diary","Item 7642","Question","Item 7647",NA,"I ENJOYED work",3,NA,NA,NA,NA,NA,"Q_8094","Slider","numeric",FALSE
"Daily Diary",NA,47032,"Question 8095","Daily Diary","Item 7643","Question","Item 7647",NA,"I felt COMPETENT at work",3,NA,NA,NA,NA,NA,"Q_8095","Slider","numeric",FALSE
"Daily Diary",NA,47033,"Question 8096","Daily Diary","Item 7644","Question","Item 7647",NA,"I felt a sense of ACCOMPLISHMENT at work",3,NA,NA,NA,NA,NA,"Q_8096","Slider","numeric",FALSE
"Daily Diary",NA,47034,"Question 8097","Daily Diary","Item 7645","Question","Item 7647",NA,"I felt CONNECTED to my work or with other people at work",3,NA,NA,NA,NA,NA,"Q_8097","Slider","numeric",FALSE
"Daily Diary",NA,47035,"Question 8098","Daily Diary","Item 7646","Question","Item 7648",NA,"Why did you not go to work?",0,NA,NA,NA,NA,NA,"Q_8098","Multiple Choice","integer",FALSE
"Daily Diary",NA,47036,"Question 8099","Daily Diary","Item 7649","Question","Item 7635",NA,"The following questions ask about how you have felt today <br /> Click below to continue",6,NA,NA,NA,NA,NA,"Q_8099","Informational Fullscreen",NA,FALSE
"Daily Diary",NA,47037,"Question 8100","Daily Diary","Item 7652","Question","Item 7657",NA,"Today...",6,NA,NA,NA,NA,NA,"Q_8100","Informational Fullscreen",NA,FALSE
"Daily Diary",NA,47038,"Question 8101","Daily Diary","Item 7650","Question","Item 7657",NA,"How FREQUENT have your alcohol or drug cravings been?",3,NA,NA,NA,NA,NA,"Q_8101","Slider","numeric",FALSE
"Daily Diary",NA,47039,"Question 8102","Daily Diary","Item 7651","Question","Item 7657",NA,"How INTENSE have your alcohol or drug cravings been?",3,NA,NA,NA,NA,NA,"Q_8102","Slider","numeric",FALSE
"Daily Diary",NA,47040,"Question 8103","Daily Diary","Item 7653","Question","Item 7657",NA,"TODAY, have you felt any...",6,NA,NA,NA,NA,NA,"Q_8103","Informational Fullscreen",NA,FALSE
"Daily Diary",NA,47041,"Question 8104","Daily Diary","Item 7654","Question","Item 7657",NA,"PHYSICAL DISCOMFORT?",3,NA,NA,NA,NA,NA,"Q_8104","Slider","numeric",FALSE
"Daily Diary",NA,47042,"Question 8105","Daily Diary","Item 7655","Question","Item 7657",NA,"PHYSICAL PAIN?",3,NA,NA,NA,NA,NA,"Q_8105","Slider","numeric",FALSE
