"Survey.LongName","Group","Survey.QID","Question.ID","Survey","Item.ID","Item.Type","Parent","NA","Question.Text","Question.Type","Conditional.Child.Item.ID","Conditional.Fail.Item.ID","Conditional.Threshold","Conditional.Type","Conditional.Master.Item.ID","QID","Question.Type.Display.Name","Result.Type","Multiple.Question.Type"
"One Question Survey","1057","469","Question ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daily Diary","","4701","Question 8176","Daily Diary ID 470","Item 7605","Question","Item 7677",NA,"Did you receive support or help today? <br /> SELECT ALL THAT APPLY: <br /> (Scroll down for all responses)",7,"7606","7607","6","2",NA,"Q_8176","Multiple Select","integer",TRUE
"Daily Diary","","4702","Question 8066","Daily Diary ID 470","Item 7606","Question","Item 7677",NA,"Whom did you receive this practical support from today? <b>SELECT ALL THAT APPLY</b> (Scroll down for all responses)",7,NA,NA,NA,NA,"7605","Q_8066","Multiple Select","integer",TRUE
"Daily Diary","","4703","Question 8177","Daily Diary ID 470","Item 7607","Question","Item 7677",NA,"Did you receive emotional or interpersonal assistance, support, or help today in any of the following areas? <br /> SELECT  ALL THAT APPLY <br /> (Scroll down for all responses)",7,"7608","7609","5","2","7605","Q_8177","Multiple Select","integer",TRUE
"Daily Diary","","4704","Question 8178","Daily Diary ID 470","Item 7608","Question","Item 7677",NA,"Whom did you receive this support from today? <br /> SELECT ALL THAT APPLY <br /> (Scroll down for all responses)",7,NA,NA,NA,NA,"7607","Q_8178","Multiple Select","integer",TRUE
"Daily Diary","","4705","Question 8069","Daily Diary ID 470","Item 7609","Question","Item 7677",NA,"How much time did you spend at a recovery community center (RCC) today? (Scroll down for all responses)",0,"7615","7616","2","3","7607","Q_8069","Multiple Choice","integer",FALSE
"Daily Diary","","4706","Question 8070","Daily Diary ID 470","Item 7610","Question","Item 7615",NA,"While AT a Recovery Center, which of the following activities/services did you take part in? <u>Please check all that apply</u> <br /> (Scroll down for all responses)",7,NA,NA,NA,NA,NA,"Q_8070","Multiple Select","integer",TRUE
"Daily Diary","","4707","Question 8179","Daily Diary ID 470","Item 7679","Question","Item 7615",NA,"Please specify activity:",11,NA,NA,NA,NA,NA,"Q_8179","Free Response","character",FALSE
"Daily Diary","","4708","Question 8071","Daily Diary ID 470","Item 7611","Question","Item 7613",NA,"Which recovery support meetings did you attend today? Check all that apply. <br /> (Scroll down for all responses)",7,NA,NA,NA,NA,NA,"Q_8071","Multiple Select","integer",TRUE
"Daily Diary","","4709","Question 8072","Daily Diary ID 470","Item 7621","Question","Item 7615",NA,"When thinking about your time at the Recovery Center today...",6,NA,NA,NA,NA,NA,"Q_8072","Informational Fullscreen",NA,FALSE
