"survey","question","type","value","definition"
"Daily Diary ID 470","Question 8077","Response","1","I ate meals"
"Daily Diary ID 470","Question 8077","Response","10","Received recovery coaching"
"Daily Diary ID 470","Question 8077","Response","11","Tried to help or be there for others"
"Daily Diary ID 470","Question 8077","Response","12","Got advice for financial, legal, housing, education, psychological, or medical issues"
"Daily Diary ID 470","Question 8077","Response","13","Took part in health/exercise/meditation/self-care class"
"Daily Diary ID 470","Question 8077","Response","14","Other (write in)"
"Daily Diary ID 470","Question 8077","Response","2","I cooked meals"
"Daily Diary ID 470","Question 8077","Response","3","I did house chores"
"Daily Diary ID 470","Question 8077","Response","4","I spent time by myself"
"Daily Diary ID 470","Question 8077","Response","5","Attended a recovery support group meeting (e.g., 12 step or ANY other group meeting)"
"Daily Diary ID 470","Question 8077","Response","6","Just hung out/ social activities"
"Daily Diary ID 470","Question 8077","Response","7","Volunteered/gave back to community"
"Daily Diary ID 470","Question 8077","Response","8","Connected to the recovery community"
"Daily Diary ID 470","Question 8077","Response","9","Used computer or internet or WiF"
"Daily Diary ID 470","Question 8077","Multi Slider","49882",""
"Daily Diary ID 470","Question 8077","Multi Slider","49891",""
"Daily Diary ID 470","Question 8077","Multi Slider","49892",""
"Daily Diary ID 470","Question 8077","Multi Slider","49893",""
"Daily Diary ID 470","Question 8077","Multi Slider","49894",""
"Daily Diary ID 470","Question 8077","Multi Slider","49895",""
"Daily Diary ID 470","Question 8077","Multi Slider","49883",""
"Daily Diary ID 470","Question 8077","Multi Slider","49884",""
"Daily Diary ID 470","Question 8077","Multi Slider","49885",""
"Daily Diary ID 470","Question 8077","Multi Slider","49886",""
"Daily Diary ID 470","Question 8077","Multi Slider","49887",""
"Daily Diary ID 470","Question 8077","Multi Slider","49888",""
"Daily Diary ID 470","Question 8077","Multi Slider","49889",""
"Daily Diary ID 470","Question 8077","Multi Slider","49890",""
"Daily Diary ID 470","Question 8094","Response","100","Strongly agree"
"Daily Diary ID 470","Question 8094","Multi Slider","49962",""
"Daily Diary ID 470","Question 8094","Multi Slider","49963",""
"Daily Diary ID 470","Question 8098","Response","1","I don’t have a paying job right now"
"Daily Diary ID 470","Question 8098","Response","2","Weekend"
"Daily Diary ID 470","Question 8098","Response","3","Not scheduled"
"Daily Diary ID 470","Question 8098","Response","4","Felt sick"
"Daily Diary ID 470","Question 8098","Response","5","Transportation difficulties"
"Daily Diary ID 470","Question 8098","Response","6","Skipped for other reason"
"Daily Diary ID 470","Question 8098","Multi Slider","49970",""
"Daily Diary ID 470","Question 8098","Multi Slider","49971",""
"Daily Diary ID 470","Question 8098","Multi Slider","49972",""
"Daily Diary ID 470","Question 8098","Multi Slider","49973",""
"Daily Diary ID 470","Question 8098","Multi Slider","49974",""
"Daily Diary ID 470","Question 8098","Multi Slider","49975",""
"Daily Diary ID 470","Question 8086","Response","1","“All Recovery”"
"Daily Diary ID 470","Question 8086","Response","10","Faith-based Meeting"
"Daily Diary ID 470","Question 8086","Response","11","Other"
"Daily Diary ID 470","Question 8086","Response","2","Dual Recovery Anonymous"
"Daily Diary ID 470","Question 8086","Response","3","Recovery Life"
"Daily Diary ID 470","Question 8086","Response","4","SMART Recovery"
"Daily Diary ID 470","Question 8086","Response","5","Gambler’s Anonymous"
"Daily Diary ID 470","Question 8086","Response","6","AA/NA/HA (12-step oriented meeting)"
"Daily Diary ID 470","Question 8086","Response","7","MAT/MAR Meeting"
"Daily Diary ID 470","Question 8086","Response","8","Mindfulness-based recovery"
"Daily Diary ID 470","Question 8086","Response","9","Grief support"
"Daily Diary ID 470","Question 8086","Multi Slider","49924",""
"Daily Diary ID 470","Question 8086","Multi Slider","49933",""
"Daily Diary ID 470","Question 8086","Multi Slider","49934",""
"Daily Diary ID 470","Question 8086","Multi Slider","49925",""
"Daily Diary ID 470","Question 8086","Multi Slider","49926",""
"Daily Diary ID 470","Question 8086","Multi Slider","49927",""
"Daily Diary ID 470","Question 8086","Multi Slider","49928",""
"Daily Diary ID 470","Question 8086","Multi Slider","49929",""
"Daily Diary ID 470","Question 8086","Multi Slider","49930",""
"Daily Diary ID 470","Question 8086","Multi Slider","49931",""
"Daily Diary ID 470","Question 8086","Multi Slider","49932",""
"Daily Diary ID 470","Question 8100","Response","-1","No Response"
"Daily Diary ID 470","Question 8100","Multi Slider","49977",""
"Daily Diary ID 470","Question 8084","Response","1","Attended a recovery support group meeting (e.g., 12 step or ANY other group meeting)."
"Daily Diary ID 470","Question 8084","Response","10","None of the above"
"Daily Diary ID 470","Question 8084","Response","2","Just hung out with others/ social activities"
"Daily Diary ID 470","Question 8084","Response","3","Volunteered/gave back to community"
"Daily Diary ID 470","Question 8084","Response","4","Connected to the recovery community"
"Daily Diary ID 470","Question 8084","Response","5","Received recovery coaching"
"Daily Diary ID 470","Question 8084","Response","6","Tried to help or be there for others"
"Daily Diary ID 470","Question 8084","Response","7","Got advice for financial, legal, housing, education, psychological, or medical issues"
"Daily Diary ID 470","Question 8084","Response","8","Took part in health/exercise/meditation/self-care class"
"Daily Diary ID 470","Question 8084","Response","9","Other (write in)"
"Daily Diary ID 470","Question 8084","Multi Slider","49914",""
"Daily Diary ID 470","Question 8084","Multi Slider","52565",""
"Daily Diary ID 470","Question 8084","Multi Slider","49915",""
"Daily Diary ID 470","Question 8084","Multi Slider","49916",""
"Daily Diary ID 470","Question 8084","Multi Slider","49917",""
"Daily Diary ID 470","Question 8084","Multi Slider","49918",""
"Daily Diary ID 470","Question 8084","Multi Slider","49919",""
"Daily Diary ID 470","Question 8084","Multi Slider","49920",""
"Daily Diary ID 470","Question 8084","Multi Slider","49921",""
"Daily Diary ID 470","Question 8084","Multi Slider","49922",""
"Daily Diary ID 470","Question 8108","Response","100","Strongly agree"
"Daily Diary ID 470","Question 8108","Multi Slider","50004","MEANINGFUL"
"Daily Diary ID 470","Question 8108","Multi Slider","50006","GRATIFYING"
"Daily Diary ID 470","Question 8108","Multi Slider","50008","PURPOSEFUL"
"Daily Diary ID 470","Question 8108","Multi Slider","50010","SATISFYING"
"Daily Diary ID 470","Question 8108","Multi Slider","50005","MEANINGFUL"
"Daily Diary ID 470","Question 8108","Multi Slider","50007","GRATIFYING"
"Daily Diary ID 470","Question 8108","Multi Slider","50009","PURPOSEFUL"
"Daily Diary ID 470","Question 8108","Multi Slider","50011","SATISFYING"
"Daily Diary ID 470","Question 8114","Response","1","I DID NOT interact with kid or kids today"
"Daily Diary ID 470","Question 8114","Response","2","I DID interact with kid or kids today"
"Daily Diary ID 470","Question 8114","Multi Slider","50037",""
"Daily Diary ID 470","Question 8114","Multi Slider","50038",""
"Daily Diary ID 470","Question 8115","Response","1","Phone call"
"Daily Diary ID 470","Question 8115","Response","2","Voice message"
"Daily Diary ID 470","Question 8115","Response","3","Video call"
"Daily Diary ID 470","Question 8115","Response","4","Text message"
"Daily Diary ID 470","Question 8115","Response","5","In-person"
"Daily Diary ID 470","Question 8115","Response","6","Posting to social media about kid"
"Daily Diary ID 470","Question 8115","Response","7","Responding to a kid's post"
"Daily Diary ID 470","Question 8115","Response","8","Messaging through facebook or other social media"
"Daily Diary ID 470","Question 8115","Response","9","Other"
"Daily Diary ID 470","Question 8115","Multi Slider","50039",""
"Daily Diary ID 470","Question 8115","Multi Slider","50040",""
"Daily Diary ID 470","Question 8115","Multi Slider","50041",""
"Daily Diary ID 470","Question 8115","Multi Slider","50042",""
"Daily Diary ID 470","Question 8115","Multi Slider","50043",""
"Daily Diary ID 470","Question 8115","Multi Slider","50044",""
"Daily Diary ID 470","Question 8115","Multi Slider","50045",""
"Daily Diary ID 470","Question 8115","Multi Slider","50046",""
"Daily Diary ID 470","Question 8115","Multi Slider","52563",""
"Daily Diary ID 470","Question 8076","Response","1","0 minutes – I did not sleep there last night"
"Daily Diary ID 470","Question 8076","Response","2","1 – 30 minutes"
"Daily Diary ID 470","Question 8076","Response","3","30 – 60 minutes"
"Daily Diary ID 470","Question 8076","Response","4","1 – 2 hours"
"Daily Diary ID 470","Question 8076","Response","5","2 – 4 hours"
"Daily Diary ID 470","Question 8076","Response","6","4 – 6  hours"
"Daily Diary ID 470","Question 8076","Response","7","More than 6 hours"
"Daily Diary ID 470","Question 8076","Multi Slider","49875",""
"Daily Diary ID 470","Question 8076","Multi Slider","49876",""
"Daily Diary ID 470","Question 8076","Multi Slider","49877",""
"Daily Diary ID 470","Question 8076","Multi Slider","49878",""
"Daily Diary ID 470","Question 8076","Multi Slider","49879",""
"Daily Diary ID 470","Question 8076","Multi Slider","49880",""
"Daily Diary ID 470","Question 8076","Multi Slider","49881",""
"Daily Diary ID 470","Question 8176","Response","1","Healthcare"
"Daily Diary ID 470","Question 8176","Response","2","Financial needs"
"Daily Diary ID 470","Question 8176","Response","3","Food"
"Daily Diary ID 470","Question 8176","Response","4","Shelter"
"Daily Diary ID 470","Question 8176","Response","5","Transportation"
"Daily Diary ID 470","Question 8176","Response","6","Other types of help to address your practical needs and physical wellbeing"
"Daily Diary ID 470","Question 8176","Response","7","I did not receive any assistance, support, or help in any of these areas today."
"Daily Diary ID 470","Question 8176","Multi Slider","50324",""
"Daily Diary ID 470","Question 8176","Multi Slider","50325",""
"Daily Diary ID 470","Question 8176","Multi Slider","50326",""
"Daily Diary ID 470","Question 8176","Multi Slider","50327",""
"Daily Diary ID 470","Question 8176","Multi Slider","50328",""
"Daily Diary ID 470","Question 8176","Multi Slider","50329",""
"Daily Diary ID 470","Question 8176","Multi Slider","50330",""
"Daily Diary ID 470","Question 8180","Response","1","“All Recovery”"
"Daily Diary ID 470","Question 8180","Response","10","Faith-based Meeting"
"Daily Diary ID 470","Question 8180","Response","11","Other"
"Daily Diary ID 470","Question 8180","Response","2","Dual Recovery Anonymous"
"Daily Diary ID 470","Question 8180","Response","3","Recovery Life"
"Daily Diary ID 470","Question 8180","Response","4","SMART Recovery"
"Daily Diary ID 470","Question 8180","Response","5","Gambler’s Anonymous"
"Daily Diary ID 470","Question 8180","Response","6","AA/NA/HA (12-step oriented meeting)"
"Daily Diary ID 470","Question 8180","Response","7","MAT/MAR Meeting"
"Daily Diary ID 470","Question 8180","Response","8","Mindfulness-based recovery"
"Daily Diary ID 470","Question 8180","Response","9","Grief support"
"Daily Diary ID 470","Question 8180","Multi Slider","50346",""
"Daily Diary ID 470","Question 8180","Multi Slider","50355",""
"Daily Diary ID 470","Question 8180","Multi Slider","50356",""
"Daily Diary ID 470","Question 8180","Multi Slider","50347",""
"Daily Diary ID 470","Question 8180","Multi Slider","50348",""
"Daily Diary ID 470","Question 8180","Multi Slider","50349",""
"Daily Diary ID 470","Question 8180","Multi Slider","50350",""
"Daily Diary ID 470","Question 8180","Multi Slider","50351",""
"Daily Diary ID 470","Question 8180","Multi Slider","50352",""
"Daily Diary ID 470","Question 8180","Multi Slider","50353",""
"Daily Diary ID 470","Question 8180","Multi Slider","50354",""
"Daily Diary ID 470","Question 8071","Response","1","“All Recovery”"
"Daily Diary ID 470","Question 8071","Response","10","Faith-based Meeting"
"Daily Diary ID 470","Question 8071","Response","11","Other"
"Daily Diary ID 470","Question 8071","Response","2","Dual Recovery Anonymous"
"Daily Diary ID 470","Question 8071","Response","3","Recovery Life"
"Daily Diary ID 470","Question 8071","Response","4","SMART Recovery"
"Daily Diary ID 470","Question 8071","Response","5","Gambler’s Anonymous"
"Daily Diary ID 470","Question 8071","Response","6","AA/NA/HA (12-step oriented meeting)"
"Daily Diary ID 470","Question 8071","Response","7","MAT/MAR Meeting"
