"Survey.LongName","Question.ID","Question.Text","Question.Type.Display.Name","Result.Type","Missingness.Codes","Response.Range","Response.Text"
"Daily Survey 1 ID 10","Question 6","Thank you for participating in our study. These questions ask about your day since  waking.","Informational Fullscreen",NA,NA,"-1 - -1","No Response"
"Daily Survey 1 ID 10","Question 7","So far today:","Informational Fullscreen",NA,NA,"-1 - -1","No Response"
"Daily Survey 1 ID 10",NA,NA,NA,NA,NA,NA,NA
"Daily Survey 1 ID 10","Question 118","The idea of using drugs has intruded upon my thoughts.","Slider","numeric",NA,"100 - 100","Strongly agree"
"Daily Survey 1 ID 10","Question 119","I have missed the feeling drugs can give me.","Slider","numeric",NA,"100 - 100","Strongly agree"
"Daily Survey 1 ID 10","Question 120","I have thought about how satisfying drugs can be.","Slider","numeric",NA,"100 - 100","Strongly agree"
"Daily Survey 1 ID 10","Question 121","I felt as if all the bad things in my life would disappear if I used drugs.","Slider","numeric",NA,"100 - 100","Strongly agree"
"Daily Survey 1 ID 10","Question 122","I felt I would be less worried about my daily problems if I used drugs.","Slider","numeric",NA,"100 - 100","Strongly agree"
"Daily Survey 1 ID 10","Question 123","I felt I would be less tense if I used drugs.","Slider","numeric",NA,"100 - 100","Strongly agree"
"Daily Survey 1 ID 10","Question 124","If I had started using drugs, I WOULD HAVE been able to stop.","Slider","numeric",NA,"100 - 100","Strongly agree"
"Daily Survey 1 ID 10","Question 125","If I were offered drugs, I WOULD HAVE used them.","Slider","numeric",NA,"100 - 100","Strongly agree"
"Daily Survey 1 ID 10","Question 126","If I had used drugs, I could easily limit how much I used.","Slider","numeric",NA,"100 - 100","Strongly agree"
"Daily Survey 1 ID 10","Question 127","So far today, to what extent have you felt:","Multiple Slider",NA,NA,"100 - 100","Very"
"Daily Survey 1 ID 10","Question 128","So far today, to what extent have you felt:","Multiple Slider",NA,NA,"100 - 100","Very"
"Daily Survey 1 ID 10","Question 129","So far today, to what extent have you been:","Multiple Slider",NA,NA,"100 - 100","Very"
"Daily Survey 1 ID 10","Question 130","So far today, to what extent have you experienced WITHDRAWAL symptoms?","Slider","numeric",NA,"100 - 100","SEVERE SYMPTOMS"
