"Survey.LongName","Question.ID","Question.Text","Question.Type.Display.Name","Result.Type","Missingness.Codes","Response.Range","Response.Text"
"Ethan's Awesome Survey","QID1721085514","Overall, how satisfied or dissatisfied were you with this course?","Multiple Choice","integer",NA,"1 - 7","Extremely satisfied, Moderately satisfied, Slightly satisfied, Neither satisfied nor dissatisfied, Slightly dissatisfied, Moderately dissatisfied, Extremely dissatisfied"
"Ethan's Awesome Survey","QID1721085515","How likely are you to recommend this course to a friend or classmate?","Multiple Choice","integer",NA,"0 - 10","0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10"
"Ethan's Awesome Survey","QID1721085506","How challenging was this course?","Multiple Choice","integer",NA,"1 - 5","Extremely challenging, Very challenging, Moderately challenging, Slightly challenging, Not challenging at all"
"Ethan's Awesome Survey","QID1721085508","How much did you learn from this course?","Multiple Choice","integer",NA,"1 - 5","A great deal, A lot, A moderate amount, A little, Nothing at all"
"Ethan's Awesome Survey","QID1721085509","How reasonable or unreasonable was the workload for this course?","Multiple Choice","integer",NA,"1 - 7","Extremely reasonable, Moderately reasonable, Slightly reasonable, Neither reasonable nor unreasonable, Slightly unreasonable, Moderately unreasonable, Extremely unreasonable"
"Ethan's Awesome Survey","QID1721085507","How reasonable or unreasonable were the instructors’ expectations of you for this course?","Multiple Choice","integer",NA,"1 - 7","Extremely reasonable, Moderately reasonable, Slightly reasonable, Neither reasonable nor unreasonable, Slightly unreasonable, Moderately unreasonable, Extremely unreasonable"
"Ethan's Awesome Survey","QID1721085510","How knowledgeable was the instructor of the material presented in this course?","Multiple Choice","integer",NA,"1 - 5","Extremely knowledgeable, Very knowledgeable, Moderately knowledgeable, Slightly knowledgeable, Not knowledgeable at all"
"Ethan's Awesome Survey","QID1721085516","How well did this course meet your expectations?","Multiple Choice","integer",NA,"1 - 5","Extremely well, Very well, Moderately well, Slightly well, Not well at all"
"Ethan's Awesome Survey","QID1721085511","What did you like most about this course?","Free Response","character",NA,NA,NA
"Ethan's Awesome Survey","QID1721085512","What did you like least about this course?","Free Response","character",NA,NA,NA
"Ethan's Awesome Survey","QID1721085513","How could this course be improved?","Free Response","character",NA,NA,NA
