"survey","question","type","value","definition"
"Daily Diary ID 366","Question 6001","Response","0","Did not experience any of these emotions today"
"Daily Diary ID 366","Question 6001","Response","1","Felt irritable or angry today"
"Daily Diary ID 366","Question 6001","Response","2","Felt sad, empty, hopeless or helpless today"
"Daily Diary ID 366","Question 6001","Response","3","Felt anxious or nervous today"
"Daily Diary ID 366","Question 6001","Response","4","Felt scared or afraid today"
"Daily Diary ID 366","Question 6001","Response","5","Other (please describe below)"
"Daily Diary ID 366","Question 5999","Response","0","Did not experience any cravings today"
"Daily Diary ID 366","Question 5999","Response","1","Experienced mild cravings today"
"Daily Diary ID 366","Question 5999","Response","2","Experienced moderate cravings today"
"Daily Diary ID 366","Question 5999","Response","3","Experienced strong cravings today"
"Daily Diary ID 366","Question 5999","Response","4","Experienced overwhelming cravings today"
"Daily Diary ID 366","Question 5999","Response","5","Other (please describe below)"
"Daily Diary ID 366","Question 6002","Response","0","Did not engage in any substance use today"
"Daily Diary ID 366","Question 6002","Response","1","Engaged in substance use to cope with negative emotions today"
"Daily Diary ID 366","Question 6002","Response","2","Engaged in substance use for recreational purposes today"
"Daily Diary ID 366","Question 6002","Response","3","Other (please describe below)"
"Daily Diary ID 366","Question 6010","Response","0","Did not engage in any substance use today"
"Daily Diary ID 366","Question 6010","Response","1","Engaged in substance use to cope with negative emotions today"
"Daily Diary ID 366","Question 6010","Response","2","Engaged in substance use for recreational purposes today"
"Daily Diary ID 366","Question 6010","Response","3","Other (please describe below)"
