Article,What does it conceptualize?,Usual modeling characteristics,Is it a statistically validated measure?,Scale Name,Parent Scale,Sub Scale,Scale / Item,Text of the item,"Is it reverse coded 
or transformed?",Does this item potentially contain identifying information?,Type of scale,Scoring,Type of data,Time Stem,Top-level question,Anchors/answers or mapping/representation (numeric),Anchors/answers or mapping/representation (nominal),Delivery mechanism,How frequently is it delivered?,Citation,Notes,
Positive and Negative Affect Schedule,"""[The PANAS] was developed to be a brief easily administered measure of positive and negative affect""",NA,1,Positive and Negative Affect Schedule,NA,"Positive Affect Schedule, Negative Affect Schedule",Scale,,,,,,,,,,,paper,NA,"Watson, D., Clark, L. A., & Tellegen, A. (1988). Positive and Negative Affect Schedule (PANAS) [Database record]. APA PsycTests. https://doi.org/10.1037/t03592-000",,
,,,,Positive Affect Schedule,Positive and Negative Affect Schedule,NA,,,,,,,,,,,,,,,,
,,,,Negative Affect Schedule,Positive and Negative Affect Schedule,NA,,,,,,,,,,,,,,,,
Positive and Negative Affect Schedule,,,,NA,Positive Affect Schedule,NA,Item,Indicate the extent you have felt this way over the past week: Interested.,NA,0,multiple choice,sum scores,Ordinal,Over the past week,Indicate to what extent you,1-5.,"very slightly or not at all, a little, moderately, quite a bit, extremely",,,,,
Positive and Negative Affect Schedule,,,,NA,,,Item,Indicate the extent you have felt this way over the past week: Distressed.,NA,0,multiple choice,sum scores,Ordinal,NA,Indicate to what extent you,1-5.,"very slightly or not at all, a little, moderately, quite a bit, extremely",,,,,
Positive and Negative Affect Schedule,,,,NA,,,Item,Indicate the extent you have felt this way over the past week: Excited.,NA,0,multiple choice,sum scores,Ordinal,NA,Indicate to what extent you,1-5.,"very slightly or not at all, a little, moderately, quite a bit, extremely",,,,,
Positive and Negative Affect Schedule,,,,NA,,,Item,Indicate the extent you have felt this way over the past week: Upset.,NA,0,multiple choice,sum scores,Ordinal,NA,Indicate to what extent you,1-5.,"very slightly or not at all, a little, moderately, quite a bit, extremely",,,,,
Positive and Negative Affect Schedule,,,,NA,,,Item,Indicate the extent you have felt this way over the past week: Strong.,NA,0,multiple choice,sum scores,Ordinal,NA,Indicate to what extent you,1-5.,"very slightly or not at all, a little, moderately, quite a bit, extremely",,,,,
Positive and Negative Affect Schedule,,,,NA,,,Item,Indicate the extent you have felt this way over the past week: Guilty.,NA,0,multiple choice,sum scores,Ordinal,NA,Indicate to what extent you,1-5.,"very slightly or not at all, a little, moderately, quite a bit, extremely",,,,,
Positive and Negative Affect Schedule,,,,NA,,,Item,Indicate the extent you have felt this way over the past week: Scared.,NA,0,multiple choice,sum scores,Ordinal,NA,Indicate to what extent you,1-5.,"very slightly or not at all, a little, moderately, quite a bit, extremely",,,,,
Positive and Negative Affect Schedule,,,,NA,,,Item,Indicate the extent you have felt this way over the past week: Hostile.,NA,0,multiple choice,sum scores,Ordinal,NA,Indicate to what extent you,1-5.,"very slightly or not at all, a little, moderately, quite a bit, extremely",,,,,
Positive and Negative Affect Schedule,,,,NA,,,Item,Indicate the extent you have felt this way over the past week: Enthustiastic.,NA,0,multiple choice,sum scores,Ordinal,NA,Indicate to what extent you,1-5.,"very slightly or not at all, a little, moderately, quite a bit, extremely",,,,,
Positive and Negative Affect Schedule,,,,NA,,,Item,Indicate the extent you have felt this way over the past week: Proud.,NA,0,multiple choice,sum scores,Ordinal,NA,Indicate to what extent you,1-5.,"very slightly or not at all, a little, moderately, quite a bit, extremely",,,,,
Positive and Negative Affect Schedule,,,,NA,,,Item,Indicate the extent you have felt this way over the past week: Irritable.,NA,0,multiple choice,sum scores,Ordinal,NA,Indicate to what extent you,1-5.,"very slightly or not at all, a little, moderately, quite a bit, extremely",,,,,
Positive and Negative Affect Schedule,,,,NA,,,Item,Indicate the extent you have felt this way over the past week: Alert.,NA,0,multiple choice,sum scores,Ordinal,NA,Indicate to what extent you,1-5.,"very slightly or not at all, a little, moderately, quite a bit, extremely",,,,,
Positive and Negative Affect Schedule,,,,NA,,,Item,Indicate the extent you have felt this way over the past week: Ashamed.,NA,0,multiple choice,sum scores,Ordinal,NA,Indicate to what extent you,1-5.,"very slightly or not at all, a little, moderately, quite a bit, extremely",,,,,
Positive and Negative Affect Schedule,,,,NA,,,Item,Indicate the extent you have felt this way over the past week: Inspired.,NA,0,multiple choice,sum scores,Ordinal,NA,Indicate to what extent you,1-5.,"very slightly or not at all, a little, moderately, quite a bit, extremely",,,,,
Positive and Negative Affect Schedule,,,,NA,,,Item,Indicate the extent you have felt this way over the past week: Nervous.,NA,0,multiple choice,sum scores,Ordinal,NA,Indicate to what extent you,1-5.,"very slightly or not at all, a little, moderately, quite a bit, extremely",,,,,
Positive and Negative Affect Schedule,,,,NA,,,Item,Indicate the extent you have felt this way over the past week: Determined.,NA,0,multiple choice,sum scores,Ordinal,NA,Indicate to what extent you,1-5.,"very slightly or not at all, a little, moderately, quite a bit, extremely",,,,,
Positive and Negative Affect Schedule,,,,NA,,,Item,Indicate the extent you have felt this way over the past week: Attentive.,NA,0,multiple choice,sum scores,Ordinal,NA,Indicate to what extent you,1-5.,"very slightly or not at all, a little, moderately, quite a bit, extremely",,,,,
Positive and Negative Affect Schedule,,,,NA,,,Item,Indicate the extent you have felt this way over the past week: Jittery.,NA,0,multiple choice,sum scores,Ordinal,NA,Indicate to what extent you,1-5.,"very slightly or not at all, a little, moderately, quite a bit, extremely",,,,,
Positive and Negative Affect Schedule,,,,NA,,,Item,Indicate the extent you have felt this way over the past week: Active.,NA,0,multiple choice,sum scores,Ordinal,NA,Indicate to what extent you,1-5.,"very slightly or not at all, a little, moderately, quite a bit, extremely",,,,,
Positive and Negative Affect Schedule,,,,NA,,,Item,Indicate the extent you have felt this way over the past week: Afraid.,NA,0,multiple choice,sum scores,Ordinal,NA,Indicate to what extent you,1-5.,"very slightly or not at all, a little, moderately, quite a bit, extremely",,,,,
,,,,,,,,,,,,,,,,,,,,,,
one sheet column for DOI and citation,,,,,,,,,"0 not reverse coded, 1 reverse codec,NA unsure",Leave cells empty if info not relevant ,,,,,,,,,,,,
