"Survey.LongName","Question.ID","Question.Text","Question.Type.Display.Name","Result.Type","Missingness.Codes","Response.Range","Response.Text"
"One Question Survey","Question ",NA,NA,NA,NA,NA,NA
"CSAR Daily Diary","Question 1661","The following questions ask about your experiences and feelings DURING THE DAY","Informational Fullscreen",NA,NA,"-1 - -1","No Response"
"CSAR Daily Diary","Question 1555","What did you do today?","Multiple Select","integer",NA,"1 - 12","Watched TV/looked at social media, Played video games, Worked out/exercised, Attended class (in-person or online), Studied, Worked at job, Spent time with friends, Household chores, Provided child care, Social media/Internet scrolling, Read, Other"
"CSAR Daily Diary","Question 1556","Please enter another type of activity you did today:","Free Response","character",NA,"-1 - -1","%%"
"CSAR Daily Diary","Question 1557","Where did you spend time today? [select all that apply]","Multiple Select","integer",NA,"1 - 7","Center for Students in Addiction Recovery (CSAR), My house, dorm room, or apartment, A friend's house, dorm room, or apartment, Went to class, Went to the library or another place to study, Worked for pay, Other"
"CSAR Daily Diary","Question 1558","How much time did you spend at the CSAR today?","Multiple Choice","integer",NA,"1 - 6","Less than five minutes (just stopped in), 5 - 30 minutes, 30 - 60 minutes, 1 - 2 hours, 2 - 4 hours, More than 4 hours"
"CSAR Daily Diary","Question 1559","Which of the following activities/services did you take part in AT the CSAR today? <br><br><u>Please check all that apply:</u>","Multiple Select","integer",NA,"1 - 8","Recovery support group meeting (12 step or ANY recovery focused meeting), Provided support to someone in the CSAR community, Just hung out/connected to others in the CSAR community, Studied or did schoolwork, Received recovery coaching, Got advice from CSAR staff, Took part in health/exercise/meditation/self-care class, Other"
"CSAR Daily Diary","Question 1560","What other activity/service did you take part in?","Free Response","character",NA,"-1 - -1","%%"
"CSAR Daily Diary","Question 1561","When thinking about your experiences at the CSAR today...","Informational Fullscreen",NA,NA,"-1 - -1","No Response"
"CSAR Daily Diary","Question 1562","How helpful were your experiences at CSAR for your recovery?","Slider","numeric",NA,"100 - 100","Very"
"CSAR Daily Diary","Question 1563","While at the CSAR, how supported by others did you feel today?","Slider","numeric",NA,"100 - 100","Very"
"CSAR Daily Diary","Question 1564","While at the CSAR, how connected to others did you feel?","Slider","numeric",NA,"100 - 100","Very"
"CSAR Daily Diary","Question 1565","While at the CSAR, how accepted did you feel by other members and staff at the CSAR?","Slider","numeric",NA,"100 - 100","Very"
"CSAR Daily Diary","Question 1566","End block","End Block",NA,NA,"-1 - -1","No Response"
