"","Burst.ID","Survey.LongName","Group","Survey.QID","Question.ID","Survey","Item.ID","Item.Type","Parent","NA","Question.Text","Question.Type","Conditional.Child.Item.ID","Conditional.Fail.Item.ID","Conditional.Threshold","Conditional.Type","Conditional.Master.Item.ID","QID","Question.Type.Display.Name","Result.Type","Multiple.Question.Type"
"1",1,"Baseline Assessment",NA,NA,"baseline_age","BL","bl_age","Question",NA,NA,"What is your current age (in years)?",NA,NA,NA,NA,NA,NA,"baseline_age","Free Response","integer",NA
"2",1,"Baseline Assessment",NA,NA,"baseline_gender","BL","bl_gender","Question",NA,NA,"What is your current gender identity?",NA,NA,NA,NA,NA,NA,"baseline_gender","Multiple Choice","character",NA
"3",1,"Baseline Assessment",NA,NA,"baseline_race","BL","bl_race","Question",NA,NA,"Which of the following best describes your racial and ethnic background? (Select all that apply)",NA,NA,NA,NA,NA,NA,"baseline_race","Multiple Select","character",NA
"4",1,"Baseline Assessment",NA,NA,"baseline_education","BL","bl_education","Question",NA,NA,"What is the highest level of education you have completed?",NA,NA,NA,NA,NA,NA,"baseline_education","Multiple Choice","character",NA
"5",1,"Baseline Assessment",NA,NA,"baseline_employment","BL","bl_employment","Question",NA,NA,"Which of the following best describes your current employment status?",NA,NA,NA,NA,NA,NA,"baseline_employment","Multiple Choice","character",NA
"6",1,"Baseline Assessment",NA,NA,"baseline_income","BL","bl_income","Question",NA,NA,"What is your approximate annual household income before taxes?",NA,NA,NA,NA,NA,NA,"baseline_income","Multiple Choice","character",NA
"7",1,"Baseline Assessment",NA,NA,"baseline_housing","BL","bl_housing","Question",NA,NA,"Which of the following best describes your current housing situation?",NA,NA,NA,NA,NA,NA,"baseline_housing","Multiple Choice","character",NA
"8",1,"Baseline Assessment",NA,NA,"baseline_primary_substance","BL","bl_primary_substance","Question",NA,NA,"Which substance do you consider your primary substance of concern?",NA,NA,NA,NA,NA,NA,"baseline_primary_substance","Multiple Choice","character",NA
"9",1,"Baseline Assessment",NA,NA,"baseline_age_first_use","BL","bl_age_first_use","Question",NA,NA,"How old were you when you first used your primary substance?",NA,NA,NA,NA,NA,NA,"baseline_age_first_use","Free Response","integer",NA
"10",1,"Baseline Assessment",NA,NA,"baseline_treatment_episodes","BL","bl_treatment_episodes","Question",NA,NA,"How many times have you received formal substance use treatment (including detox, residential, outpatient)?",NA,NA,NA,NA,NA,NA,"baseline_treatment_episodes","Free Response","integer",NA
"11",1,"Baseline Assessment",NA,NA,"baseline_longest_abstinence","BL","bl_longest_abstinence","Question",NA,NA,"What is the longest period of time (in months) that you have been completely abstinent from all substances since you started using regularly?",NA,NA,NA,NA,NA,NA,"baseline_longest_abstinence","Free Response","integer",NA
"12",1,"Baseline Assessment",NA,NA,"baseline_mental_health","BL","bl_mental_health","Question",NA,NA,"Have you ever been diagnosed with any of the following mental health conditions? (Select all that apply)",NA,NA,NA,NA,NA,NA,"baseline_mental_health","Multiple Select","character",NA
"13",1,"Baseline Assessment",NA,NA,"baseline_social_support","BL","bl_social_support","Question",NA,NA,"Overall, how satisfied are you with the social support you receive from friends and family?",NA,NA,NA,NA,NA,NA,"baseline_social_support","Slider","integer",NA
"14",1,"Daily Experience Assessment",NA,NA,"daily_location","EMA","ema_location","Question",NA,NA,"Where are you right now?",NA,NA,NA,NA,NA,NA,"daily_location","Multiple Choice","character",NA
"15",1,"Daily Experience Assessment",NA,NA,"daily_social_context","EMA","ema_social","Question",NA,NA,"Who are you currently with? (Select all that apply)",NA,NA,NA,NA,NA,NA,"daily_social_context","Multiple Select","character",NA
"16",1,"Daily Experience Assessment",NA,NA,"daily_craving","EMA","ema_craving","Question",NA,NA,"Right now, how strong is your urge or craving to use your primary substance?",NA,NA,NA,NA,NA,NA,"daily_craving","Slider","integer",NA
