"survey","question","type","value","definition"
"Daily Diary ID 365","Question 5984","Response","1","Attended a recovery support group meeting (e.g., 12 step or ANY other group meeting)"
"Daily Diary ID 365","Question 5984","Response","10","Other"
"Daily Diary ID 365","Question 5984","Response","2","Volunteered / gave back to community"
"Daily Diary ID 365","Question 5984","Response","3","Just hung out / social activities"
"Daily Diary ID 365","Question 5984","Response","4","Connecting to the recovery community"
"Daily Diary ID 365","Question 5984","Response","5","Used computer or WiFi"
"Daily Diary ID 365","Question 5984","Response","6","Received recovery coaching"
"Daily Diary ID 365","Question 5984","Response","7","Tried to help or be there for others"
"Daily Diary ID 365","Question 5984","Response","8","Got advice to financial, legal, housing, education, psychological, medical issues"
"Daily Diary ID 365","Question 5984","Response","9","Took part in the health / exercise / meditation / self-care class"
"Daily Diary ID 365","Question 5984","Multi Slider","38517",""
"Daily Diary ID 365","Question 5984","Multi Slider","38526",""
"Daily Diary ID 365","Question 5984","Multi Slider","38518",""
"Daily Diary ID 365","Question 5984","Multi Slider","38519",""
"Daily Diary ID 365","Question 5984","Multi Slider","38520",""
"Daily Diary ID 365","Question 5984","Multi Slider","38521",""
"Daily Diary ID 365","Question 5984","Multi Slider","38522",""
"Daily Diary ID 365","Question 5984","Multi Slider","38523",""
"Daily Diary ID 365","Question 5984","Multi Slider","38524",""
"Daily Diary ID 365","Question 5984","Multi Slider","38525",""
"Daily Diary ID 365","Question 5976","Response","1","Watched TV / looked at social media"
"Daily Diary ID 365","Question 5976","Response","10","Read off line"
"Daily Diary ID 365","Question 5976","Response","11","Read on line"
"Daily Diary ID 365","Question 5976","Response","12","Other activity"
"Daily Diary ID 365","Question 5976","Response","2","Played video games"
"Daily Diary ID 365","Question 5976","Response","3","Walked"
"Daily Diary ID 365","Question 5976","Response","4","Shopped or did errands"
"Daily Diary ID 365","Question 5976","Response","5","Worked at job"
"Daily Diary ID 365","Question 5976","Response","6","Helped family"
"Daily Diary ID 365","Question 5976","Response","7","Household chores"
"Daily Diary ID 365","Question 5976","Response","8","Provided child care"
"Daily Diary ID 365","Question 5976","Response","9","Physical activity"
"Daily Diary ID 365","Question 5976","Multi Slider","38460",""
"Daily Diary ID 365","Question 5976","Multi Slider","38469",""
"Daily Diary ID 365","Question 5976","Multi Slider","38470",""
"Daily Diary ID 365","Question 5976","Multi Slider","38471",""
"Daily Diary ID 365","Question 5976","Multi Slider","38461",""
"Daily Diary ID 365","Question 5976","Multi Slider","38462",""
"Daily Diary ID 365","Question 5976","Multi Slider","38463",""
"Daily Diary ID 365","Question 5976","Multi Slider","38464",""
"Daily Diary ID 365","Question 5976","Multi Slider","38465",""
"Daily Diary ID 365","Question 5976","Multi Slider","38466",""
"Daily Diary ID 365","Question 5976","Multi Slider","38467",""
"Daily Diary ID 365","Question 5976","Multi Slider","38468",""
"Daily Diary ID 365","Question 5996","Response","1","I don't have a paying job right now"
"Daily Diary ID 365","Question 5996","Response","2","Weekend"
"Daily Diary ID 365","Question 5996","Response","3","Not scheduled"
"Daily Diary ID 365","Question 5996","Response","4","Felt sick"
"Daily Diary ID 365","Question 5996","Response","5","Transportation difficulties"
"Daily Diary ID 365","Question 5996","Response","6","Skipped for other reason"
"Daily Diary ID 365","Question 5996","Multi Slider","38569",""
"Daily Diary ID 365","Question 5996","Multi Slider","38570",""
"Daily Diary ID 365","Question 5996","Multi Slider","38571",""
"Daily Diary ID 365","Question 5996","Multi Slider","38572",""
"Daily Diary ID 365","Question 5996","Multi Slider","38573",""
"Daily Diary ID 365","Question 5996","Multi Slider","38574",""
"Daily Diary ID 365","Question 6074","Response","1","Attended a recovery support group meeting (e.g., 12 step or ANY other group meeting)"
"Daily Diary ID 365","Question 6074","Response","10","Other"
"Daily Diary ID 365","Question 6074","Response","2","Volunteered"
"Daily Diary ID 365","Question 6074","Response","3","Just hung out / social activities"
"Daily Diary ID 365","Question 6074","Response","4","Connected to the recovery community"
"Daily Diary ID 365","Question 6074","Response","5","Used computer or WiFi"
"Daily Diary ID 365","Question 6074","Response","6","Received recovery coaching"
"Daily Diary ID 365","Question 6074","Response","7","Tried to help or be there for others"
"Daily Diary ID 365","Question 6074","Response","8","Got advice for financial, legal, housing, education, psychological, or medical issues"
"Daily Diary ID 365","Question 6074","Response","9","Took part in a health / exercise / meditation / self-care class"
"Daily Diary ID 365","Question 6074","Multi Slider","39093",""
"Daily Diary ID 365","Question 6074","Multi Slider","39102",""
"Daily Diary ID 365","Question 6074","Multi Slider","39094",""
"Daily Diary ID 365","Question 6074","Multi Slider","39095",""
"Daily Diary ID 365","Question 6074","Multi Slider","39096",""
"Daily Diary ID 365","Question 6074","Multi Slider","39097",""
"Daily Diary ID 365","Question 6074","Multi Slider","39098",""
"Daily Diary ID 365","Question 6074","Multi Slider","39099",""
"Daily Diary ID 365","Question 6074","Multi Slider","39100",""
"Daily Diary ID 365","Question 6074","Multi Slider","39101",""
"Daily Diary ID 365","Question 5988","Response","1","RCC"
"Daily Diary ID 365","Question 5988","Response","2","Church / religious instiution"
"Daily Diary ID 365","Question 5988","Response","3","Other government building"
"Daily Diary ID 365","Question 5988","Response","4","Clubhouse"
"Daily Diary ID 365","Question 5988","Response","5","Community center"
"Daily Diary ID 365","Question 5988","Response","6","Online"
"Daily Diary ID 365","Question 5988","Multi Slider","38549",""
"Daily Diary ID 365","Question 5988","Multi Slider","38550",""
"Daily Diary ID 365","Question 5988","Multi Slider","38551",""
"Daily Diary ID 365","Question 5988","Multi Slider","38552",""
"Daily Diary ID 365","Question 5988","Multi Slider","38553",""
"Daily Diary ID 365","Question 5988","Multi Slider","38554",""
"Daily Diary ID 365","Question 6038","Response","1","Attended a recovery support group meeting (e.g., 12 step or ANY other group meeting)"
"Daily Diary ID 365","Question 6038","Response","10","Other"
"Daily Diary ID 365","Question 6038","Response","2","Volunteered"
"Daily Diary ID 365","Question 6038","Response","3","Just hung out / social activities"
"Daily Diary ID 365","Question 6038","Response","4","Connected to the recovery community"
"Daily Diary ID 365","Question 6038","Response","5","Used computer or WiFi"
"Daily Diary ID 365","Question 6038","Response","6","Received recovery coaching"
"Daily Diary ID 365","Question 6038","Response","7","Tried to help or be there for others"
"Daily Diary ID 365","Question 6038","Response","8","Got advice for financial, legal, housing, education, psychological, or medical issues"
"Daily Diary ID 365","Question 6038","Response","9","Took part in a health / exercise / meditation / self-care class"
"Daily Diary ID 365","Question 6038","Multi Slider","38972",""
"Daily Diary ID 365","Question 6038","Multi Slider","38981",""
"Daily Diary ID 365","Question 6038","Multi Slider","38973",""
"Daily Diary ID 365","Question 6038","Multi Slider","38974",""
"Daily Diary ID 365","Question 6038","Multi Slider","38975",""
"Daily Diary ID 365","Question 6038","Multi Slider","38976",""
"Daily Diary ID 365","Question 6038","Multi Slider","38977",""
"Daily Diary ID 365","Question 6038","Multi Slider","38978",""
"Daily Diary ID 365","Question 6038","Multi Slider","38979",""
"Daily Diary ID 365","Question 6038","Multi Slider","38980",""
"Daily Diary ID 365","Question 6027","Response","100","Strongly agree"
"Daily Diary ID 365","Question 6027","Multi Slider","38901",""
"Daily Diary ID 365","Question 6027","Multi Slider","38902",""
"Daily Diary ID 365","Question 6026","Response","1","Attended a recovery support group meeting (e.g., 12 step or ANY other group meeting)"
"Daily Diary ID 365","Question 6026","Response","10","Other"
"Daily Diary ID 365","Question 6026","Response","2","Volunteered"
"Daily Diary ID 365","Question 6026","Response","3","Just hung out / social activities"
"Daily Diary ID 365","Question 6026","Response","4","Connecting to the recovery community"
"Daily Diary ID 365","Question 6026","Response","5","Used computer or WiFi"
"Daily Diary ID 365","Question 6026","Response","6","Received recovery coaching"
"Daily Diary ID 365","Question 6026","Response","7","Tried to help or be there for others"
"Daily Diary ID 365","Question 6026","Response","8","Got advice for financial, legal, housing, education, psychological, or medical issues"
