"Survey.LongName","Question.ID","Question.Text","Question.Type.Display.Name","Result.Type","Missingness.Codes","Response.Range","Response.Text"
"One Question Survey","Question ",NA,NA,NA,NA,NA,NA
"Daily Diary","Question 5976","What did you do today?","Multiple Select","integer",NA,"1 - 12","Watched TV / looked at social media, Played video games, Walked, Shopped or did errands, Worked at job, Helped family, Household chores, Provided child care, Physical activity, Read off line, Read on line, Other activity"
"Daily Diary","Question 6021","How difficult was it to get where you needed to go today?","Multiple Choice","integer",NA,"1 - 5","Extremely Difficult, Very difficult, Moderately Difficult, Slightly Difficult, Not at all Difficult"
"Daily Diary","Question 5978","Where did you spend time today?","Multiple Select","integer",NA,"1 - 9","Recovery Community Center (RCC), Home, Friend's house/apartment, Outdoor public place (park, yard), At your job, At a store/shopping, Restaurant, Bar, Other place"
"Daily Diary","Question 5979","How much time did you spend at the RCC today?","Multiple Choice","integer",NA,"1 - 6","Less than five minutes, 5 - 30 minutes, 30 - 60 minutes, 1 - 2 hours, 2 - 4 hours, More than 4 hours"
"Daily Diary","Question 6022","Select all the activities taken part in or services used at the RCC today. Which of the following activities / services did you take part in at your RCC today? <u>Please check all that apply:</u>","Multiple Select","integer",NA,"1 - 10","Attended a recovery support group meeting (e.g., 12 step or ANY other group meeting), Volunteered, Just hung out / social activities, Connected to the recovery community, Used computer or WiFi, Received recovery coaching, Tried to help or be there for others, Got advice for financial, legal, housing, education, psychological, or medical issues, Took part in a health / exercise / meditation / self-care class, Other"
"Daily Diary","Question 5981","Please write in other activity:","Free Response","character",NA,"-1 - -1","%%"
"Daily Diary","Question 5982","When thinking about your time at the RCC today...","Multiple Slider",NA,NA,"100 - 100","VERY"
"Daily Diary","Question 6023","When thinking about your time at the RCC today...","Multiple Slider",NA,NA,"100 - 100","VERY"
"Daily Diary","Question 6074","While NOT AT YOUR RCC, which of the following activities /services did you take part in?","Multiple Select","integer",NA,"1 - 10","Attended a recovery support group meeting (e.g., 12 step or ANY other group meeting), Volunteered, Just hung out / social activities, Connected to the recovery community, Used computer or WiFi, Received recovery coaching, Tried to help or be there for others, Got advice for financial, legal, housing, education, psychological, or medical issues, Took part in a health / exercise / meditation / self-care class, Other"
"Daily Diary","Question 5985","Please write in other activity:","Free Response","character",NA,"-1 - -1","%%"
"Daily Diary","Question 6075","When thinking about your full day...","Multiple Slider",NA,NA,"100 - 100","VERY"
"Daily Diary","Question 5987","Please check off any recovery support meetings you attended today?","Multiple Select","integer",NA,"1 - 11","I did not attend any recovery meetings today, ""All Recovery"", Dual Recovery Anonymous, Recovery Life, SMART Recovery, Gambler's Anonymous, AA/NA, MAT/MAR Meeting, Mindfulness-based recovery, Grief support, Other"
"Daily Diary","Question 6024","Where did you attend the meeting (or meetings)?","Multiple Select","integer",NA,"1 - 7","RCC, Church / religious institution, Other government building, Clubhouse, Community center, Online, Other"
"Daily Diary","Question 6025","Please write in other location:","Free Response","character",NA,"-1 - -1","%%"
"Daily Diary","Question 6076","How useful was the meeting(s) for you?","Slider","numeric",NA,"100 - 100","VERY"
"Daily Diary","Question 6077","How supportive did you find the meeting(s)?","Slider","numeric",NA,"100 - 100","VERY"
"Daily Diary","Question 6078","How connected did you feel to others at the meeting(s)?","Slider","numeric",NA,"100 - 100","VERY"
"Daily Diary","Question 6079","How engaged were you during the meeting(s)?","Slider","numeric",NA,"100 - 100","VERY"
"Daily Diary","Question 6080","How much did you talk during the meeting(s)?","Slider","numeric",NA,"100 - 100","A lot"
"Daily Diary","Question 6081","How comfortable were you during the meeting(s)?","Slider","numeric",NA,"100 - 100","VERY"
"Daily Diary","Question 5995","Did you work for pay today?","Multiple Choice","integer",NA,"1 - 2","Yes, No"
"Daily Diary","Question 5996","Why did you not go to work?","Multiple Choice","integer",NA,"1 - 6","I don't have a paying job right now, Weekend, Not scheduled, Felt sick, Transportation difficulties, Skipped for other reason"
"Daily Diary","Question 6040","Please specify:","Free Response","character",NA,"-1 - -1","%%"
"Daily Diary","Question 6041","End Block","End Block",NA,NA,"-1 - -1","No Response"
"Daily Diary","Question 5997","The following questions ask about how you have felt this evening","Informational Fullscreen",NA,NA,"-1 - -1","No Response"
"Daily Diary","Question 5998","THIS EVENING...","Informational Fullscreen",NA,NA,"-1 - -1","No Response"
"Daily Diary","Question 5999","How FREQUENT have your alcohol or drug cravings been?","Slider","numeric",NA,"100 - 100","VERY FREQUENT"
"Daily Diary","Question 6000","How INTENSE have your alcohol or drug cravings been?","Slider","numeric",NA,"100 - 100","VERY INTENSE"
"Daily Diary","Question 6001","THIS EVENING, have you felt...","Multiple Slider",NA,NA,"100 - 100","VERY"
